1	0.372	32	0.382
32	0.392	0	0.414
1	0.433	33	0.443
33	0.453	0	0.507
0	0.609	34	0.639
34	0.649	1	0.684
0	7.547	35	7.567
35	7.577	1	7.602
1	8.276	36	8.296
36	8.306	0	8.326
1	15.115	37	15.135
37	15.145	0	15.164
0	15.900	38	15.920
38	15.930	1	15.952
0	22.889	39	22.915
39	22.925	1	22.945
1	23.022	40	23.045
40	23.055	0	23.075
0	24.078	41	24.145
41	24.155	1	24.210
1	24.255	42	24.280
42	24.290	0	24.320
1	30.047	43	30.065
43	30.075	0	30.090
2	29.400	63	29.415
63	29.425	1	29.440
0	29.310	64	29.335
64	29.345	2	29.372
2	29.434	65	29.450
65	29.460	0	29.471
3	34.296	62	34.325
62	34.335	1	34.364
3	34.321	66	34.345
66	34.355	0	34.376
0	34.678	44	34.705
44	34.715	1	34.740
1	34.669	44	34.705
44	34.715	0	34.729
0	37.297	45	37.365
45	37.375	1	37.410
1	37.337	45	37.365
45	37.375	0	37.441
1	38.040	46	38.075
46	38.085	0	38.115
0	38.229	47	38.260
47	38.270	1	38.296

1	42.040	48	42.115
48	42.125	0	42.200

0	44.285	71	44.310
71	44.320	4	44.350
4	44.390	70	44.410
70	44.420	1	44.440
1	44.229	58	44.255
58	44.265	4	44.287
4	44.410	59	44.450
59	44.460	0	44.500
0	44.975	49	44.995
49	45.005	1	45.040
1	44.940	49	44.995
49	45.005	0	45.100
0	48.300	50	48.385
50	48.395	1	48.440
1	48.340	50	48.385
50	48.395	0	48.500
1	51.940	51	51.985
51	51.995	1	52.040
0	51.900	51	51.985
51	51.995	0	52.100
0	55.700	52	55.735
52	55.745	1	55.759
1	55.640	52	55.735
52	55.745	0	55.759
0	61.600	53	61.695
53	61.705	1	61.760
1	61.640	53	61.695
53	61.705	0	61.760
0	62.160	54	62.195
54	62.205	1	62.240
1	68.058	55	68.105
55	68.115	0	68.157
0	68.847	56	68.870
56	68.880	5	68.900
5	68.977	57	68.995
57	69.005	0	69.020
6	42.000	159	42.045
159	42.055	0	42.100

6	41.516	154	41.550
154	41.560	0	41.600

0	41.478	154	41.550
154	41.560	6	41.650

7	41.964	158	41.990
158	42.000	1	42.020
7	41.529	153	41.580
153	41.590	1	41.640
6	41.441	160	41.475
160	41.485	7	41.520
6	41.820	149	41.880
149	41.890	7	41.955
1	41.070	152	41.135
152	41.145	7	41.208
1	40.540	150	40.492
150	40.482	7	40.432
7	40.420	151	40.350
151	40.340	1	40.270

0	41.326	155	41.375
155	41.385	6	41.432

7	39.420	148	39.465
148	39.475	6	39.520
6	39.294	147	39.340
147	39.350	7	39.391

6	35.693	146	35.750
146	35.760	7	35.820

7	35.305	145	35.350
145	35.360	6	35.410

6	35.136	144	35.186
144	35.196	7	35.249

7	27.908	143	27.980
143	27.990	6	28.073

6	27.922	143	27.980
143	27.990	7	28.104

6	17.718	134	17.755
134	17.765	7	17.794
7	17.725	134	17.755
134	17.765	6	17.786
7	17.260	133	17.310
133	17.320	6	17.372
7	12.697	132	12.760
132	12.770	6	12.830
6	12.690	132	12.760
132	12.770	7	12.834
6	8.620	126	8.665
126	8.675	7	8.720
7	8.729	127	8.770
127	8.780	6	8.821
6	4.017	125	4.040
125	4.050	7	4.070
7	3.466	124	3.495
124	3.505	6	3.532
6	3.126	123	3.150
123	3.160	7	3.188

9	37.700	156	37.765
156	37.775	1	37.840

8	38.100	157	38.135
157	38.145	0	38.184
8	37.198	80	37.235
80	37.245	9	37.278
9	37.285	81	37.310
81	37.320	8	37.346
9	30.804	78	30.830
78	30.840	8	30.870
8	30.969	79	31.000
79	31.010	9	31.037
8	24.617	75	24.750
75	24.760	9	24.774
9	24.700	75	24.750
75	24.760	8	24.812
8	22.468	73	22.495
73	22.505	9	22.528
9	22.626	74	22.650
74	22.660	8	22.682
8	22.063	72	22.083
72	22.093	9	22.109
9	22.063	72	22.083
72	22.093	8	22.109
10	30.411	76	30.435
76	30.445	8	30.477
10	30.411	77	30.445
77	30.455	9	30.478
6	22.673	140	22.730
140	22.740	12	22.798
12	23.501	142	23.535
142	23.545	6	23.586

6	23.262	141	23.325
141	23.335	12	23.408

12	22.925	135	22.955
135	22.965	11	22.989
11	22.925	135	22.955
135	22.965	12	22.993
12	23.272	136	23.295
136	23.305	11	23.333
11	23.266	136	23.295
136	23.305	12	23.339
7	22.720	137	22.775
137	22.785	11	22.842

11	23.460	139	23.510
139	23.520	7	23.568

6	12.222	130	12.262
130	12.272	13	12.310
7	12.227	128	12.265
128	12.275	13	12.310
13	12.320	131	12.345
131	12.355	6	12.377
13	12.320	129	12.345
129	12.355	7	12.380
7	23.255	138	23.310
138	23.320	11	23.374
0	47.270	106	47.285
106	47.295	14	47.310
1	47.218	105	47.224
105	47.234	15	47.240
15	47.291	104	47.325
104	47.335	14	47.370
14	47.399	103	47.415
103	47.425	15	47.442
14	52.280	102	52.310
102	52.320	15	52.350
15	52.355	101	52.425
101	52.435	14	52.511
14	53.187	100	53.222
100	53.232	15	53.273
14	55.130	94	55.165
94	55.175	15	55.210
15	55.130	94	55.165
94	55.175	14	55.210
14	60.120	107	60.165
107	60.175	15	60.218
14	65.270	114	65.305
114	65.315	15	65.345
15	66.010	117	66.030
117	66.040	14	66.061
15	70.880	118	70.910
118	70.920	14	70.950

14	77.920	122	77.945
122	77.955	16	77.980

15	77.702	121	77.790
121	77.800	14	77.920
14	77.770	121	77.790
121	77.800	15	77.820
14	55.318	96	55.345
96	55.355	17	55.380
15	55.318	95	55.345
95	55.355	17	55.380
15	55.880	97	55.910
97	55.920	17	55.955
17	55.990	98	56.010
99	56.020	14	56.045
17	55.990	99	56.010
98	56.020	15	56.065
14	60.425	108	60.470
108	60.480	18	60.530
15	60.430	109	60.475
109	60.485	18	60.530
14	60.800	112	60.830
112	60.840	18	60.875
18	60.930	111	60.970
111	60.980	15	61.018
15	60.818	113	60.845
113	60.855	18	60.875
18	60.930	110	60.995
110	61.005	14	61.070
15	65.418	115	65.428
115	65.438	19	65.445
19	65.888	116	65.930
116	65.940	15	65.980
14	70.960	119	70.980
119	70.990	20	71.010
20	71.670	120	71.695
120	71.705	14	71.731

15	49.137	166	49.167
166	49.177	22	49.210
22	49.137	166	49.167
166	49.177	15	49.210

15	49.750	167	49.785
167	49.795	22	49.831
22	49.750	167	49.785
167	49.795	15	49.831
14	49.357	163	49.395
163	49.405	23	49.449


14	48.970	161	49.130
161	49.140	21	49.170

21	49.101	161	49.130
161	49.140	14	49.316

21	49.201	89	49.270
89	49.280	22	49.329
22	49.236	89	49.270
89	49.280	21	49.349
21	49.653	164	49.700
164	49.710	14	49.764
21	38.217	82	38.255
82	38.265	22	38.299
22	38.301	83	38.335
83	38.345	21	38.384
22	38.777	84	38.815
84	38.825	21	38.858
22	42.064	85	42.084
85	42.094	21	42.113
21	42.472	86	42.505
86	42.515	22	42.551
22	46.687	87	46.730
87	46.740	21	46.783
21	47.262	88	47.340
88	47.350	22	47.433

14	49.856	165	49.911
165	49.921	23	49.950
23	49.856	165	49.911
165	49.921	14	49.950

23	54.974	92	55.024
92	55.034	22	55.089
22	54.974	92	55.024
92	55.034	23	55.089

22	54.853	91	54.868
91	54.878	23	54.896

23	54.896	93	54.901
93	54.911	24	54.918
21	49.580	25	49.601
22	49.580	26	49.601
25	49.680	90	49.685
90	49.695	26	49.701
26	49.680	90	49.685
90	49.695	25	49.701
27	23.674	67	23.700
67	23.710	28	23.730
28	23.674	67	23.700
67	23.710	27	23.730
27	23.736	69	23.760
69	23.770	0	23.800
28	23.736	68	23.760
68	23.770	1	23.800
1	55.775	162	55.830
162	55.840	29	55.895
1	39.440	60	39.470
60	39.480	30	39.510
0	39.480	61	39.490
61	39.500	30	39.510
31	4.582	7	4.520
31	4.582	6	4.520
31	4.592	7	4.620
31	4.592	6	4.620
