BlockID StartX[Km] EndX[Km]
@167-blockSets0@ 49.126 49.427
@168-blockSets0@ 49.427 49.728
@169-blockSets0@ 49.728 50.029
@170-blockSets0@ 50.029 50.33
@171-blockSets0@ 50.33 50.631
@172-blockSets0@ 50.631 50.932
@173-blockSets0@ 50.932 51.233
@174-blockSets0@ 51.233 51.534
@175-blockSets0@ 51.534 51.835
@176-blockSets0@ 51.835 52.136
@177-blockSets0@ 52.136 52.437
@178-blockSets0@ 52.437 52.738
@179-blockSets0@ 52.738 53.039
@180-blockSets0@ 53.039 53.34
@181-blockSets0@ 53.34 53.641
@182-blockSets0@ 53.641 53.942
@183-blockSets0@ 53.942 54.243
@184-blockSets0@ 54.243 54.544
@185-blockSets0@ 54.544 54.845
@186-blockSets0@ 54.845 55.146
@187-blockSets0@ 55.146 55.447
@188-blockSets0@ 55.447 55.628
@189-blockSets0@ 55.628 55.849
@190-blockSets0@ 55.849 56.25
@191-blockSets0@ 56.25 56.651
@192-blockSets0@ 56.651 56.952
@193-blockSets0@ 56.952 57.253
@194-blockSets0@ 57.253 57.554
@195-blockSets0@ 57.554 57.855
@196-blockSets0@ 57.855 58.156
@197-blockSets0@ 58.156 58.457
@198-blockSets0@ 58.457 58.758
@199-blockSets0@ 58.758 59.059
@200-blockSets0@ 59.059 59.36
@201-blockSets0@ 59.36 59.661
@202-blockSets0@ 59.661 59.962
@203-blockSets0@ 59.962 60.263
@204-blockSets0@ 60.263 60.564
@205-blockSets0@ 60.564 60.865
@206-blockSets0@ 60.865 61.166
@207-blockSets0@ 61.166 61.467
@208-blockSets0@ 61.467 61.768
@209-blockSets0@ 61.768 62.069
@210-blockSets0@ 62.069 62.37
@211-blockSets0@ 62.37 62.671
@212-blockSets0@ 62.671 62.972
@213-blockSets0@ 62.972 63.272
@214-blockSets0@ 63.272 63.572
@215-blockSets0@ 63.572 63.872
@216-blockSets0@ 63.872 64.172
@217-blockSets0@ 64.172 64.472
@218-blockSets0@ 64.472 64.772
@219-blockSets0@ 64.772 65.072
@220-blockSets0@ 65.072 65.372
@221-blockSets0@ 65.372 65.672
@222-blockSets0@ 65.672 65.972
@223-blockSets0@ 65.972 66.272
@224-blockSets0@ 66.272 66.572
@225-blockSets0@ 66.572 66.872
@226-blockSets0@ 66.872 67.172
@227-blockSets0@ 67.172 67.472
@228-blockSets0@ 67.472 67.772
@229-blockSets0@ 67.772 68.022
@230-blockSets0@ 68.022 68.272
@231-blockSets0@ 68.272 68.672
@232-blockSets0@ 68.672 68.812
@233-blockSets0@ 68.812 69.042
@234-blockSets0@ 69.042 69.212
@0-blockSets1@ 0.14 0.3
@1-blockSets1@ 0.3 0.6
@2-blockSets1@ 0.6 0.901
@3-blockSets1@ 0.901 1.202
@4-blockSets1@ 1.202 1.503
@5-blockSets1@ 1.503 1.804
@6-blockSets1@ 1.804 2.105
@7-blockSets1@ 2.105 2.406
@8-blockSets1@ 2.406 2.707
@9-blockSets1@ 2.707 3.008
@10-blockSets1@ 3.008 3.309
@11-blockSets1@ 3.309 3.61
@12-blockSets1@ 3.61 3.911
@13-blockSets1@ 3.911 4.211
@14-blockSets1@ 4.211 4.511
@15-blockSets1@ 4.511 4.811
@16-blockSets1@ 4.811 5.111
@17-blockSets1@ 5.111 5.411
@18-blockSets1@ 5.411 5.711
@19-blockSets1@ 5.711 6.011
@20-blockSets1@ 6.011 6.311
@21-blockSets1@ 6.311 6.611
@22-blockSets1@ 6.611 6.911
@23-blockSets1@ 6.911 7.211
@24-blockSets1@ 7.211 7.511
@25-blockSets1@ 7.511 7.711
@26-blockSets1@ 7.711 8.112
@27-blockSets1@ 8.112 8.413
@28-blockSets1@ 8.413 8.714
@29-blockSets1@ 8.714 9.015
@30-blockSets1@ 9.015 9.316
@31-blockSets1@ 9.316 9.617
@32-blockSets1@ 9.617 9.918
@33-blockSets1@ 9.918 10.219
@34-blockSets1@ 10.219 10.52
@35-blockSets1@ 10.52 10.821
@36-blockSets1@ 10.821 11.122
@37-blockSets1@ 11.122 11.423
@38-blockSets1@ 11.423 11.724
@39-blockSets1@ 11.724 12.025
@40-blockSets1@ 12.025 12.326
@41-blockSets1@ 12.326 12.627
@42-blockSets1@ 12.627 12.928
@43-blockSets1@ 12.928 13.229
@44-blockSets1@ 13.229 13.53
@45-blockSets1@ 13.53 13.831
@46-blockSets1@ 13.831 14.132
@47-blockSets1@ 14.132 14.433
@48-blockSets1@ 14.433 14.734
@49-blockSets1@ 14.734 15.035
@50-blockSets1@ 15.035 15.336
@51-blockSets1@ 15.336 15.637
@52-blockSets1@ 15.637 15.887
@53-blockSets1@ 15.887 16.138
@54-blockSets1@ 16.138 16.438
@55-blockSets1@ 16.438 16.738
@56-blockSets1@ 16.738 17.038
@57-blockSets1@ 17.038 17.338
@58-blockSets1@ 17.338 17.638
@59-blockSets1@ 17.638 17.938
@60-blockSets1@ 17.938 18.238
@61-blockSets1@ 18.238 18.538
@62-blockSets1@ 18.538 18.838
@63-blockSets1@ 18.838 19.138
@64-blockSets1@ 19.138 19.438
@65-blockSets1@ 19.438 19.738
@66-blockSets1@ 19.738 20.038
@67-blockSets1@ 20.038 20.338
@68-blockSets1@ 20.338 20.638
@69-blockSets1@ 20.638 20.938
@70-blockSets1@ 20.938 21.238
@71-blockSets1@ 21.238 21.538
@72-blockSets1@ 21.538 21.838
@73-blockSets1@ 21.838 22.138
@74-blockSets1@ 22.138 22.438
@75-blockSets1@ 22.438 22.738
@76-blockSets1@ 22.738 22.988
@77-blockSets1@ 22.988 23.288
@78-blockSets1@ 23.288 23.588
@79-blockSets1@ 23.588 23.838
@80-blockSets1@ 23.838 23.988
@81-blockSets1@ 23.988 24.248
@82-blockSets1@ 24.248 24.548
@83-blockSets1@ 24.548 24.848
@84-blockSets1@ 24.848 25.148
@85-blockSets1@ 25.148 25.448
@86-blockSets1@ 25.448 25.748
@87-blockSets1@ 25.748 26.048
@88-blockSets1@ 26.048 26.348
@89-blockSets1@ 26.348 26.648
@90-blockSets1@ 26.648 26.948
@91-blockSets1@ 26.948 27.248
@92-blockSets1@ 27.248 27.548
@93-blockSets1@ 27.548 27.848
@94-blockSets1@ 27.848 28.148
