Trackline 	 BlockID  	 EntrySignal 	 ExitSignal 	 BlockStartX[Km] 	BlockEndX[Km] 	 topologypartID 	 TopoPartStartX[Km] 	TopoPartEndX[Km] 	 length 	 gradient 	 curve 	 speedlimit
0	@32-B0@	Sign_9.310_tr_0	Sign_9.610_tr_0	9.310000	9.610000	@32-B0@-3	9.539000	9.610000	0.071000	0.000000	10000.000000	19.444444
0	@33-B0@	Sign_9.610_tr_0	Sign_9.910_tr_0	9.610000	9.910000	@33-B0@-0	9.610000	9.910000	0.300000	0.000000	10000.000000	19.444444
0	@34-B0@	Sign_9.910_tr_0	Sign_10.210_tr_0	9.910000	10.210000	@34-B0@-0	9.910000	9.989000	0.079000	0.000000	10000.000000	19.444444
0	@34-B0@	Sign_9.910_tr_0	Sign_10.210_tr_0	9.910000	10.210000	@34-B0@-1	9.989000	10.047000	0.058000	0.000000	10000.000000	19.444444
0	@34-B0@	Sign_9.910_tr_0	Sign_10.210_tr_0	9.910000	10.210000	@34-B0@-2	10.047000	10.057000	0.010000	0.000000	10000.000000	8.333333
0	@34-B0@	Sign_9.910_tr_0	Sign_10.210_tr_0	9.910000	10.210000	@34-B0@-3	10.057000	10.112000	0.055000	0.000000	10000.000000	19.444444
0	@34-B0@	Sign_9.910_tr_0	Sign_10.210_tr_0	9.910000	10.210000	@34-B0@-4	10.112000	10.210000	0.098000	0.005000	10000.000000	19.444444
0	@35-B0@	Sign_10.210_tr_0	Sign_10.510_tr_0	10.210000	10.510000	@35-B0@-0	10.210000	10.252000	0.042000	0.005000	10000.000000	19.444444
0	@35-B0@	Sign_10.210_tr_0	Sign_10.510_tr_0	10.210000	10.510000	@35-B0@-1	10.252000	10.357000	0.105000	0.000000	10000.000000	19.444444
0	@35-B0@	Sign_10.210_tr_0	Sign_10.510_tr_0	10.210000	10.510000	@35-B0@-2	10.357000	10.454000	0.097000	-0.003500	10000.000000	19.444444
0	@35-B0@	Sign_10.210_tr_0	Sign_10.510_tr_0	10.210000	10.510000	@35-B0@-3	10.454000	10.464000	0.010000	-0.003500	10000.000000	8.333333
0	@35-B0@	Sign_10.210_tr_0	Sign_10.510_tr_0	10.210000	10.510000	@35-B0@-4	10.464000	10.510000	0.046000	-0.003500	10000.000000	19.444444
0	@36-B0@	Sign_10.510_tr_0	Sign_10.810_tr_0	10.510000	10.810000	@36-B0@-0	10.510000	10.774000	0.264000	-0.003500	10000.000000	19.444444
0	@36-B0@	Sign_10.510_tr_0	Sign_10.810_tr_0	10.510000	10.810000	@36-B0@-1	10.774000	10.790000	0.016000	0.000000	10000.000000	19.444444
0	@36-B0@	Sign_10.510_tr_0	Sign_10.810_tr_0	10.510000	10.810000	@36-B0@-2	10.790000	10.810000	0.020000	0.000000	600.000000	19.444444
0	@37-B0@	Sign_10.810_tr_0	Sign_11.110_tr_0	10.810000	11.110000	@37-B0@-0	10.810000	10.921000	0.111000	0.000000	600.000000	19.444444
0	@37-B0@	Sign_10.810_tr_0	Sign_11.110_tr_0	10.810000	11.110000	@37-B0@-1	10.921000	11.037000	0.116000	-0.014000	600.000000	19.444444
0	@37-B0@	Sign_10.810_tr_0	Sign_11.110_tr_0	10.810000	11.110000	@37-B0@-2	11.037000	11.043000	0.006000	-0.014000	600.000000	8.333333
0	@37-B0@	Sign_10.810_tr_0	Sign_11.110_tr_0	10.810000	11.110000	@37-B0@-3	11.043000	11.047000	0.004000	-0.014000	10000.000000	19.444444
0	@37-B0@	Sign_10.810_tr_0	Sign_11.110_tr_0	10.810000	11.110000	@37-B0@-4	11.047000	11.110000	0.063000	-0.014000	10000.000000	19.444444
0	@38-B0@	Sign_11.110_tr_0	Sign_11.410_tr_0	11.110000	11.410000	@38-B0@-0	11.110000	11.410000	0.300000	-0.014000	10000.000000	19.444444
0	@39-B0@	Sign_11.410_tr_0	Sign_11.710_tr_0	11.410000	11.710000	@39-B0@-0	11.410000	11.512000	0.102000	-0.014000	10000.000000	19.444444
0	@39-B0@	Sign_11.410_tr_0	Sign_11.710_tr_0	11.410000	11.710000	@39-B0@-1	11.512000	11.710000	0.198000	-0.008600	10000.000000	19.444444
0	@40-B0@	Sign_11.710_tr_0	Sign_12.010_tr_0	11.710000	12.010000	@40-B0@-0	11.710000	11.812000	0.102000	-0.008600	10000.000000	19.444444
0	@40-B0@	Sign_11.710_tr_0	Sign_12.010_tr_0	11.710000	12.010000	@40-B0@-1	11.812000	11.907000	0.095000	0.000000	10000.000000	19.444444
0	@40-B0@	Sign_11.710_tr_0	Sign_12.010_tr_0	11.710000	12.010000	@40-B0@-2	11.907000	11.912000	0.005000	0.000000	10000.000000	8.333333
0	@40-B0@	Sign_11.710_tr_0	Sign_12.010_tr_0	11.710000	12.010000	@40-B0@-3	11.912000	11.917000	0.005000	0.002500	10000.000000	8.333333
0	@40-B0@	Sign_11.710_tr_0	Sign_12.010_tr_0	11.710000	12.010000	@40-B0@-4	11.917000	12.010000	0.093000	0.002500	10000.000000	19.444444
0	@41-B0@	Sign_12.010_tr_0	Sign_12.310_tr_0	12.010000	12.310000	@41-B0@-0	12.010000	12.310000	0.300000	0.002500	10000.000000	19.444444
0	@42-B0@	Sign_12.310_tr_0	Sign_12.610_tr_0	12.310000	12.610000	@42-B0@-0	12.310000	12.366000	0.056000	0.002500	10000.000000	19.444444
0	@42-B0@	Sign_12.310_tr_0	Sign_12.610_tr_0	12.310000	12.610000	@42-B0@-1	12.366000	12.432000	0.066000	0.002500	2000.000000	19.444444
0	@42-B0@	Sign_12.310_tr_0	Sign_12.610_tr_0	12.310000	12.610000	@42-B0@-2	12.432000	12.490000	0.058000	0.000000	2000.000000	19.444444
0	@42-B0@	Sign_12.310_tr_0	Sign_12.610_tr_0	12.310000	12.610000	@42-B0@-3	12.490000	12.500000	0.010000	0.000000	2000.000000	8.333333
0	@42-B0@	Sign_12.310_tr_0	Sign_12.610_tr_0	12.310000	12.610000	@42-B0@-4	12.500000	12.542000	0.042000	0.000000	2000.000000	19.444444
0	@42-B0@	Sign_12.310_tr_0	Sign_12.610_tr_0	12.310000	12.610000	@42-B0@-5	12.542000	12.610000	0.068000	-0.006000	2000.000000	19.444444
0	@43-B0@	Sign_12.610_tr_0	Sign_12.910_tr_0	12.610000	12.910000	@43-B0@-0	12.610000	12.712000	0.102000	-0.006000	2000.000000	19.444444
0	@43-B0@	Sign_12.610_tr_0	Sign_12.910_tr_0	12.610000	12.910000	@43-B0@-1	12.712000	12.755000	0.043000	-0.012000	2000.000000	19.444444
0	@43-B0@	Sign_12.610_tr_0	Sign_12.910_tr_0	12.610000	12.910000	@43-B0@-2	12.755000	12.910000	0.155000	-0.012000	10000.000000	19.444444
0	@44-B0@	Sign_12.910_tr_0	Sign_13.210_tr_0	12.910000	13.210000	@44-B0@-0	12.910000	13.140000	0.230000	-0.012000	10000.000000	19.444444
0	@44-B0@	Sign_12.910_tr_0	Sign_13.210_tr_0	12.910000	13.210000	@44-B0@-1	13.140000	13.150000	0.010000	-0.012000	10000.000000	8.333333
0	@44-B0@	Sign_12.910_tr_0	Sign_13.210_tr_0	12.910000	13.210000	@44-B0@-2	13.150000	13.210000	0.060000	-0.012000	10000.000000	19.444444
0	@45-B0@	Sign_13.210_tr_0	Sign_13.510_tr_0	13.210000	13.510000	@45-B0@-0	13.210000	13.294000	0.084000	-0.012000	10000.000000	19.444444
0	@45-B0@	Sign_13.210_tr_0	Sign_13.510_tr_0	13.210000	13.510000	@45-B0@-1	13.294000	13.510000	0.216000	-0.015000	10000.000000	19.444444
0	@46-B0@	Sign_13.510_tr_0	Sign_13.810_tr_0	13.510000	13.810000	@46-B0@-0	13.510000	13.573000	0.063000	-0.015000	10000.000000	19.444444
0	@46-B0@	Sign_13.510_tr_0	Sign_13.810_tr_0	13.510000	13.810000	@46-B0@-1	13.573000	13.583000	0.010000	-0.015000	10000.000000	8.333333
0	@46-B0@	Sign_13.510_tr_0	Sign_13.810_tr_0	13.510000	13.810000	@46-B0@-2	13.583000	13.775000	0.192000	-0.015000	10000.000000	19.444444
0	@46-B0@	Sign_13.510_tr_0	Sign_13.810_tr_0	13.510000	13.810000	@46-B0@-3	13.775000	13.810000	0.035000	0.000000	10000.000000	19.444444
0	@47-B0@	Sign_13.810_tr_0	Sign_14.110_tr_0	13.810000	14.110000	@47-B0@-0	13.810000	13.874000	0.064000	0.000000	10000.000000	19.444444
0	@47-B0@	Sign_13.810_tr_0	Sign_14.110_tr_0	13.810000	14.110000	@47-B0@-1	13.874000	14.110000	0.236000	0.010000	10000.000000	19.444444
0	@48-B0@	Sign_14.110_tr_0	Sign_14.410_tr_0	14.110000	14.410000	@48-B0@-0	14.110000	14.172000	0.062000	0.010000	10000.000000	19.444444
0	@48-B0@	Sign_14.110_tr_0	Sign_14.410_tr_0	14.110000	14.410000	@48-B0@-1	14.172000	14.180000	0.008000	0.010000	10000.000000	8.333333
0	@48-B0@	Sign_14.110_tr_0	Sign_14.410_tr_0	14.110000	14.410000	@48-B0@-2	14.180000	14.182000	0.002000	0.000000	10000.000000	8.333333
0	@48-B0@	Sign_14.110_tr_0	Sign_14.410_tr_0	14.110000	14.410000	@48-B0@-3	14.182000	14.269000	0.087000	0.000000	10000.000000	19.444444
0	@48-B0@	Sign_14.110_tr_0	Sign_14.410_tr_0	14.110000	14.410000	@48-B0@-4	14.269000	14.410000	0.141000	-0.001000	10000.000000	19.444444
0	@49-B0@	Sign_14.410_tr_0	Sign_14.710_tr_0	14.410000	14.710000	@49-B0@-0	14.410000	14.456000	0.046000	-0.001000	10000.000000	19.444444
0	@49-B0@	Sign_14.410_tr_0	Sign_14.710_tr_0	14.410000	14.710000	@49-B0@-1	14.456000	14.710000	0.254000	-0.004000	10000.000000	19.444444
0	@50-B0@	Sign_14.710_tr_0	Sign_15.010_tr_0	14.710000	15.010000	@50-B0@-0	14.710000	14.749000	0.039000	-0.004000	10000.000000	19.444444
