100	1	2	10000.0	-0.0	16.666666666666668
101	2	3	10000.0	-0.0	16.666666666666668
102	3	4	10000.0	-0.0	16.666666666666668
103	4	5	3864.2234486670354	-0.0	16.666666666666668
104	5	6	3864.2234486670354	-0.0	16.666666666666668
105	6	7	3864.2234486670354	-0.0	16.666666666666668
106	7	8	3864.2234486670354	-0.0	16.666666666666668
107	8	9	1230.7791005846927	-0.0	16.666666666666668
108	9	10	1230.7791005846927	-0.0	16.666666666666668
109	10	11	3394.1600380061245	-0.0	16.666666666666668
110	11	12	3394.1600380061245	-0.0	16.666666666666668
