0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11	16	0
12		0
13		0
14		0
15		0
16		0
17	6	0
18		0
19	5	0
20		0
21	14	0
22		0
23	15	0
24		0
25		0
26		0
27	13	0
28		0
29	10	0
30	3	0
31	0	0
32	1	0
33	-2	0
34		0
35		0
36	2	0
37	2	0
38	4	0
39	2	0
40		0
41	2	0
42		0
43		0
44	-1	0
45		0
46		0
47		0
48		0
49	5	0
50		0
51	11	0
52	12	0
53		0
54	9	0
55	11	0
56	2	0
57		0
58		0
59		0
60	3	0
61		0
62	4	0
63	9	0
64	6	0
65	7	0
66	5	0
67	8	0
68		0
69		0
70		0
71		0
72		0
73		0
74		0
75		0
76		0
77	3	0
78	1	0
79	4	0
80	9	0
81	3	0
82	5	0
83		0
84	11	0
85	3	0
86	4	0
87		0
88	13	0
89	3	0
90		0
91	8	0
92		0
93		0
94		0
95		0
96	0	0
97	14	0
98		0
99	9	0
100	12	0
101	10	0
102	15	0
103	14	0
104		0
105	11	0
106		0
107		0
108		0
109		0
110		0
111		0
112		0
113		0
114		0
115		0
116		0
117		0
118		0
119		0
120		0
121		0
122		0
123		0
124		0
125		0
126		0
127		0
128		0
129		0
130		0
131	10	0
132	7	0
133	11	0
134	2	0
135	5	0
136	7	0
137		0
138		0
139	6	0
140	9	0
141	-10	0
142	-11	0
143	6	0
144	-6	0
145	-5	0
146	2	0
147	-12	0
148	-8	0
149	-4	0
150	-5	0
151	12	0
152	-7	0
153	3	0
154	-9	0
155		0
156	-3	0
157	0	0
158	-2	0
159	-5	0
160	-3	0
161	12	0
162		0
163	4	0
164		0
165		0
166		0
167		0
168		0
169		0
170		0
171		0
172		0
173		0
174		0
175		0
176		0
177		0
178		0
179		0
180		0
181		0
182		0
183		0
184		0
185		0
186		0
187		0
188		0
189		0
190		0
191		0
192		0
193		0
194		0
195		0
196		0
197		0
198		0
199		0
200		0
201		0
202		0
203		0
204		0
205		0
206		0
207		0
208		0
209		0
210		0
211		0
212		0
213		0
214		0
215		0
216		0
217		1
218	1	1
219		1
220	2	1
221	3	1
222	0	1
223	3	1
224	1	2
225	0	2
226	-1	2
227	2	2
228		2
229		2
230		2
231		2
232		2
233		2
234		2
235	3	2
236		2
237	-3	3
238	3	3
239	1	3
240	-1	3
241		3
242		3
243		3
244		3
245		3
246		3
247		3
248	-2	3
249		3
250		3
251		3
252		3
253	0	3
254	2	3
255	-2	3
256	2	3
257	-4	3
258	4	3
259	4	4
260	3	4
261		4
262	2	4
263	1	4
264	5	4
265		4
266		4
267	5	4
