0	11.34	1	11.42	
0	11.59	3	11.676	
0	12.98	1	13.06
0	30.06	1	30.2 27.7778
0	33.676	1	33.746	
1	11.5	0	11.59	
1	11.59	2	11.676	
1	13.06	2	13.14	
1	13.14	0	13.22	
1	19.423	0	19.507	
1	26.43	10	26.490	
1	30.05	14	30.2	27.77777778
1	30.22	13	30.332	27.77777778
1	32.714	0	32.764	
1	33.79	0	33.815	
2	11.42	1	11.5	
2	11.676	4	11.846	
2	12.749	0	12.92	
2	13.14	4	13.22	
2	19.05	1	19.183	
2	27.43	11	27.620	27.77777778
2	66.55	4	66.75	44.44444444
2	78	14	78.392	
4	11.14	2	11.24	
4	11.34	2	11.42	
4	12.8	1	12.98	
4	12.98	2	13.06	
4	18.96	2	19.05	
4	27.43	12	27.620	27.77777778
4	65.695	2	65.895	44.44444444
4	78.414	14	78.489	
5	10.987	4	11.14	
6	11.14	4	11.34	
7	17.655	9	17.8055	
7	18.855	4	18.96	
8	18.644	9	18.71	
9	17.8055	8	17.877	
9	18.71	7	18.855	
10	27.155	1	27.206	
11	28.79	15	28.900	27.77777778
11	29.5	1	30.040	27.77777778
11	32.345	14	32.423	
11	32.48	12	32.560	
11	33.322	13	33.480	
12	29.323	11	29.470	27.77777778
12	32.69	16	32.720	
12	33.48	14	33.560	
13	32.423	25	32.560	
13	32.69	26	32.720	
13	32.72	14	32.800	
13	33.57	14	33.620	
13	44.831	14	44.910	
13	45.27	19	45.360	
13	46.28	14	46.360	
13	65.488	14	65.545	
13	65.545	27	65.615	
13	66.305	14	66.410	
13	70.765	36	70.829	
13	71.52	14	71.601	
14	32.345	13	32.423	
14	32.48	13	32.56	
14	33.65	16	33.700	
14	33.72	13	33.800	
14	44.91	20	44.96	
14	44.96	13	45.040	
14	45.95	21	46.052	
14	46.097	22	46.218	
14	46.36	13	46.444	
14	65.317	13	65.395	
14	65.545	28	65.615	
14	66.465	13	66.545	
14	71.751	37	71.824	
14	71.936	13	71.998	
14	78.414	13	78.489	
15	29.47	1	29.580	27.77777778
16	32.72	17	32.830	
16	33.65	14	33.700	
17	33.62	16	33.650	8.333333333
18	33.341	17	33.458	
19	46.101	13	46.218	
20	45.83	14	45.9	
21	46.052	14	46.097	
22	46.218	14	46.28	
23	32.484	1	32.714	
23	32.65	24	32.68	
24	32.68	25	32.72	
25	32.72	26	32.77	
25	33.318	26	33.48	
26	33.48	13	33.560	
27	65.313	13	65.488	
27	65.615	13	65.675	
27	66.139	13	66.305	
28	65.615	31	65.725	
28	65.645	29	65.725	
28	66.41	14	66.465	
29	66.37	28	66.41	
30	66.211	32	66.261	
31	65.725	32	65.738	
31	65.738	30	65.78	
31	66.211	32	66.225	
32	65.738	33	65.78	
32	66.347	29	66.37	
33	65.78	34	65.797	
33	66.27	32	66.347	
34	66.261	33	66.27	
35	71.419	36	71.457	
36	70.829	35	70.847	
36	71.457	13	71.52	
37	71.998	14	72.469	
