100	1	2	10000.000000	-0.005200	36.111
101	2	3	10000.000000	-0.005200	36.111
102	3	4	10000.000000	-0.003268	36.111
103	4	5	10000.000000	-0.003268	36.111
104	5	6	10000.000000	-0.003268	38.889
105	6	7	10000.000000	0.000317	38.889
106	7	8	10000.000000	0.000317	27.778
107	8	9	10000.000000	0.000317	27.778
108	9	10	10000.000000	0.000317	27.778
109	10	11	10000.000000	0.016481	27.778
110	11	12	10000.000000	0.016481	38.889
111	12	13	10000.000000	-0.016312	38.889
112	13	14	10000.000000	-0.016312	36.111
113	14	15	10000.000000	-0.000117	36.111
114	15	16	10000.000000	-0.000117	36.111
115	16	17	10000.000000	-0.000117	36.111
