0	52.219	2	51.983
3	52.09	1	52.227
0	1.35	1	1.4
0	46.43	4	46.455
0	46.368	5	46.393
1	46.3	6	46.325
6	46.422	0	46.425
0	14.318	7	14.325
0	13.315	8	13.34
8	14.427	7	14.45
7	15.81	9	15.835
9	16.433	7	16.43
10	46.2	11	46.225
11	47.216	1	47.175
10	41.5	12	41.525
12	42.232	10	42.26
14	45.461	5	49.510
13	45.320	5	49.734
5	49.550	4	49.777
0	33.59	15	33.615
15	34.46	0	34.48
1	7.33	16	7.355
16	8.023	1	8.05
0	8.27	17	8.295
17	8.974	0	9.0
17	8.3	18	8.325
18	8.946	17	8.97
1	27.685	0	27.775
1	13.475	0	13.565
1	13.24	0	13.31
1	13.33	19	13.355
19	14.231	1	14.25
19	13.355	20	13.38
20	14.112	19	14.14
20	13.39	21	13.415
21	14.15	19	14.168
1	14.26	0	14.28
0	14.12	8	14.156
0	14.201	8	14.175
21	13.49	22	13.5
22	14.053	21	14.059
22	13.525	23	13.535
23	14.09	21	14.096
21	13.455	24	13.465
24	14.06	23	14.07
24	13.502	25	13.512
25	14.037	24	14.041
1	19.18	26	19.205
26	19.853	1	19.9
0	20.47	1	20.55
0	34.52	1	34.589
