0	0.252
1	0.201
2	0.201
3	0.201
4	0.201
5	0.201
6	0.301
7	0.301
8	0.301
9	0.301
10	0.275
11	0.301
12	0.301
13	0.301
14	0.301
15	0.301
16	0.301
17	0.301
18	0.201
19	0.301
20	0.301
21	0.301
22	0.301
23	0.301
24	0.301
25	0.301
26	0.301
27	0.301
28	0.301
29	0.286
30	0.316
31	0.301
32	0.301
33	0.301
34	0.301
35	0.301
36	0.301
37	0.301
38	0.301
39	0.301
40	0.301
41	0.301
42	0.301
43	0.301
44	0.301
45	0.301
46	0.171
47	0.231
48	0.201
49	0.301
50	0.301
51	0.301
52	0.301
53	0.301
54	0.301
55	0.301
56	0.3
57	0.3
58	0.3
59	0.3
60	0.3
61	0.3
62	0.3
63	0.3
64	0.3
65	0.3
66	0.3
67	0.3
68	0.3
69	0.3
70	0.3
71	0.3
72	0.3
73	0.3
74	0.3
75	0.3
76	0.3
77	0.3
78	0.3
79	0.3
80	0.3
81	0.27
82	0.2
83	0.4
84	0.4
85	0.25
86	0.25
87	0.3
88	0.3
89	0.3
90	0.3
91	0.3
92	0.3
93	0.3
94	0.3
95	0.3
96	0.3
97	0.3
98	0.3
99	0.3
100	0.3
101	0.3
102	0.3
103	0.3
104	0.22
105	0.3
106	0.3
