0	0.430000
1	0.430000
2	0.430000
3	0.430000
4	0.430000
5	0.430000
6	0.430000
7	0.430000
8	0.211500
9	0.110000
10	0.108500
11	0.429000
12	0.431000
13	0.153000
14	0.033000
15	0.050000
16	0.194000
17	0.430000
18	0.430000
19	0.430000
20	0.430000
21	0.298000
22	0.070500
23	0.022500
24	0.021000
25	0.018000
26	0.032500
27	0.024500
28	0.024000
29	0.028500
30	0.024500
31	0.036500
32	0.036500
33	0.025500
34	0.066000
35	0.131500
36	0.178500
37	0.251500
38	0.122000
39	0.024500
40	0.029500
41	0.025000
42	0.025000
43	0.028000
44	0.023000
