0.266,1
0.271,7
0.266,4
0.271,7
0.281,7
0.286,1
0.281,7
0.286,4
0.482,12
0.487,0
0.467,0
0.472,12
0.467,5
0.472,12
0.482,12
0.487,5
0.505,6
0.51,15
0.52,15
0.525,6
0.52,15
0.525,5
0.505,5
0.51,15
0.56,18
0.565,1
0.56,18
0.565,5
0.545,1
0.55,18
0.545,5
0.55,18
0.608,20
0.613,5
0.608,20
0.613,4
0.593,4
0.598,20
0.593,5
0.598,20
0.688,22
0.693,2
0.673,2
0.678,22
0.688,22
0.693,5
0.673,5
0.678,22
0.712,23
0.717,25
0.727,25
0.732,5
0.727,25
0.732,23
0.712,5
0.717,25
0.76,21
0.765,26
0.775,26
0.78,5
0.775,26
0.78,21
0.76,5
0.765,26
1.592,36
1.597,32
1.577,32
1.582,36
1.577,30
1.582,36
1.592,36
1.597,30
1.621,31
1.626,37
1.636,37
1.641,30
1.636,37
1.641,31
1.621,30
1.626,37
1.666,38
1.671,39
1.666,32
1.671,39
1.681,39
1.686,38
1.681,39
1.686,32
1.667,33
1.672,40
1.682,40
1.687,30
1.682,40
1.687,33
1.667,30
1.672,40
1.725,41
1.73,31
1.725,41
1.73,38
1.71,31
1.715,41
1.71,38
1.715,41
1.755,33
1.76,44
1.77,44
1.775,33
1.77,44
1.775,31
1.755,31
1.76,44
1.755,42
1.76,45
1.77,45
1.775,42
1.77,45
1.775,38
1.755,38
1.76,45
30.594,63
30.599,62
30.579,29
30.584,63
30.594,63
30.599,29
30.616,64
30.621,66
30.631,66
30.636,62
30.631,66
30.636,64
30.616,62
30.621,66
30.631,67
30.636,65
30.631,67
30.636,29
30.616,29
30.621,67
34.554,68
34.559,70
34.569,70
34.574,68
34.569,70
34.574,71
37.423,56
37.428,77
37.423,74
37.428,77
37.438,77
37.443,74
37.438,77
37.443,56
55.221,89
55.226,95
55.221,93
55.226,95
55.236,95
55.241,89
55.236,95
55.241,93
55.904,96
55.909,98
55.904,89
55.909,98
55.919,98
55.924,96
55.919,98
55.924,89
56.473,100
56.478,101
56.473,78
56.478,101
56.488,101
56.493,78
56.488,101
56.493,100
56.478,88
56.483,103
56.493,103
56.498,102
56.493,103
56.498,88
57.038,100
57.043,109
57.038,107
57.043,109
57.053,109
57.058,100
57.053,109
57.058,107
57.078,106
57.083,113
57.093,113
57.098,106
57.078,107
57.083,113
57.229,112
57.234,122
57.229,104
57.234,122
57.244,122
57.249,104
57.244,122
57.249,112
57.304,108
57.309,125
57.319,125
57.324,112
57.319,125
57.324,108
57.304,112
57.309,125
57.452,114
57.457,127
57.467,127
57.472,128
57.467,127
57.472,114
57.476,117
57.481,129
57.476,100
57.481,129
57.491,129
57.496,100
57.491,129
57.496,117
57.762,100
57.767,130
57.762,104
57.767,130
57.777,130
57.782,104
57.777,130
57.782,100
58.098,99
58.103,132
58.113,132
58.118,99
58.113,132
58.118,89
58.098,89
58.103,132
58.292,78
58.297,134
58.292,100
58.297,134
58.307,134
58.312,100
58.307,134
58.312,78
58.722,135
58.727,139
58.737,139
58.742,135
58.722,91
58.727,139
58.737,139
58.742,91
58.745,131
58.75,140
58.745,89
58.75,140
58.76,140
58.765,131
58.76,140
58.765,89
58.833,144
58.838,145
58.833,88
58.838,145
58.848,145
58.853,88
58.848,145
58.853,144
58.848,146
58.853,89
58.833,89
58.838,146
58.833,78
58.838,146
58.848,146
58.853,78
58.923,147
58.928,150
58.938,150
58.943,147
58.938,150
58.943,144
58.923,144
58.928,150
58.929,148
58.934,151
58.929,88
58.934,151
58.944,151
58.949,148
58.944,151
58.949,88
58.98,152
58.985,144
58.98,152
58.985,148
58.965,144
58.97,152
58.965,148
58.97,152
58.966,135
58.971,153
58.966,78
58.971,153
58.981,153
58.986,135
58.981,153
58.986,78
58.995,147
59,154
59.01,154
59.015,147
59.01,154
59.015,148
58.995,148
59,154
59.006,149
59.011,156
59.006,88
59.011,156
59.021,156
59.026,149
59.021,156
59.026,88
59.079,155
59.084,160
59.094,160
59.099,149
59.094,160
59.099,155
59.079,149
59.084,160
59.094,161
59.099,135
59.079,135
59.084,161
59.094,161
59.099,88
59.079,88
59.084,161
59.079,157
59.084,162
59.079,158
59.084,162
59.094,162
59.099,158
59.094,162
59.099,157
59.095,163
59.1,143
59.08,143
59.085,163
59.08,78
59.085,163
59.095,163
59.1,78
59.366,164
59.371,171
59.366,144
59.371,171
59.381,171
59.386,144
59.381,171
59.386,164
59.366,167
59.371,172
59.366,149
59.371,172
59.381,172
59.386,149
59.381,172
59.386,167
59.37,165
59.375,173
59.37,148
59.375,173
59.385,173
59.39,148
59.385,173
59.39,165
59.402,147
59.407,177
59.417,177
59.422,147
59.417,177
59.422,164
59.402,164
59.407,177
59.402,155
59.407,178
59.417,178
59.422,155
59.417,178
59.422,167
59.402,167
59.407,178
59.406,141
59.411,179
59.421,179
59.426,141
59.421,179
59.426,165
59.406,165
59.411,179
59.468,166
59.473,181
59.468,135
59.473,181
59.483,181
59.488,166
59.483,181
59.488,135
59.683,144
59.688,184
59.683,164
59.688,184
59.698,184
59.703,144
59.698,184
59.703,164
59.69,148
59.695,185
59.705,185
59.71,148
59.705,185
59.71,165
59.69,165
59.695,185
59.717,149
59.722,186
59.717,147
59.722,186
59.732,186
59.737,147
59.732,186
59.737,149
59.758,144
59.763,188
59.773,188
59.778,144
59.773,188
59.778,147
59.758,147
59.763,188
59.767,141
59.772,189
59.782,189
59.787,141
59.782,189
59.787,164
59.767,164
59.772,189
59.794,167
59.799,190
59.809,190
59.814,167
59.809,190
59.814,144
59.794,144
59.799,190
59.834,191
59.839,195
59.834,192
59.839,195
59.849,195
59.854,191
59.849,195
59.854,192
59.834,149
59.839,196
59.834,141
59.839,196
59.849,196
59.854,141
59.849,196
59.854,149
59.84,164
59.845,197
59.855,197
59.86,183
59.84,183
59.845,197
59.855,197
59.86,164
59.853,155
59.858,198
59.868,198
59.873,144
59.868,198
59.873,155
59.853,144
59.858,198
59.854,88
59.859,199
59.854,143
59.859,199
59.869,199
59.874,88
59.869,199
59.874,143
59.854,166
59.859,200
59.854,180
59.859,200
59.869,200
59.874,166
59.869,200
59.874,180
59.908,203
59.913,193
59.893,193
59.898,203
59.908,203
59.913,144
59.893,144
59.898,203
59.893,194
59.898,204
59.893,78
59.898,204
59.908,204
59.913,78
59.908,204
59.913,194
59.908,205
59.913,166
59.908,205
59.913,143
59.893,143
59.898,205
59.893,166
59.898,205
59.934,208
59.939,183
59.919,202
59.924,208
59.919,183
59.924,208
59.934,208
59.939,202
59.948,209
59.953,166
59.948,209
59.953,144
59.933,144
59.938,209
59.933,166
59.938,209
59.933,88
59.938,210
59.948,210
59.953,88
59.948,210
59.953,78
59.933,78
59.938,210
59.949,211
59.954,193
59.949,211
59.954,143
59.934,193
59.939,211
59.934,143
59.939,211
59.934,147
59.939,212
59.949,212
59.954,155
59.949,212
59.954,147
59.934,155
59.939,212
59.99,213
59.995,166
59.99,213
59.995,78
59.975,166
59.98,213
59.975,78
59.98,213
59.99,214
59.995,193
59.99,214
59.995,147
59.975,193
59.98,214
59.975,147
59.98,214
59.99,215
59.995,155
59.99,215
59.995,143
59.975,143
59.98,215
59.975,155
59.98,215
59.975,206
59.98,216
59.975,141
59.98,216
59.99,216
59.995,206
59.99,216
59.995,141
30.297,224
30.302,230
30.297,228
30.302,230
30.312,230
30.317,228
30.312,230
30.317,224
30.297,225
30.302,231
30.297,229
30.302,231
30.312,231
30.317,225
30.312,231
30.317,229
30.366,232
30.371,229
30.366,232
30.371,224
30.351,224
30.356,232
30.351,229
30.356,232
30.366,233
30.371,228
30.366,233
30.371,225
30.351,228
30.356,233
30.351,225
30.356,233
0.387,9
0.477,10
0.413,10
0.5,9
0.437,11
0.501,14
0.532,17
0.592,19
0.597,14
0.661,11
0.646,21
0.694,23
0.647,19
0.707,17
0.804,5
0.84,17
0.792,13
0.841,9
0.792,13
0.882,10
1.458,28
1.52,27
1.542,30
1.628,38
1.587,31
1.631,32
1.586,17
1.668,11
1.579,29
1.675,5
1.631,10
1.676,9
1.631,9
1.677,10
1.672,27
1.736,28
1.71,30
1.806,38
2.027,9
2.075,46
2.07,11
2.11,46
4.039,29
4.099,31
4.558,49
4.619,31
4.681,31
4.742,49
4.835,29
4.895,27
7.483,29
7.543,27
7.603,27
7.663,29
10.418,29
10.497,51
10.442,27
10.497,51
13.553,27
13.612,29
13.697,53
13.742,27
22.85,29
22.887,56
24.177,57
24.217,56
24.247,56
24.292,29
30.354,29
30.392,56
30.652,62
30.69,60
30.724,60
30.758,56
31.387,56
31.424,29
31.461,29
31.498,56
33.433,29
33.494,56
33.937,68
33.98,56
34.161,56
34.224,68
35.209,56
35.245,29
36.544,56
36.584,29
36.722,29
36.79,72
36.859,29
36.912,56
38.312,29
38.354,56
42.684,29
42.744,56
42.805,56
42.865,29
46.072,78
46.162,56
46.107,29
46.177,80
46.585,56
46.646,78
46.546,80
46.606,82
46.673,82
46.732,29
46.852,29
46.912,56
46.882,78
46.972,56
47.032,56
47.092,29
47.092,56
47.182,78
47.152,29
47.231,82
55.052,90
55.125,93
55.097,78
55.15,88
55.37,88
55.44,78
55.85,96
55.897,78
57.524,99
57.583,105
57.668,105
57.714,99
57.759,114
57.792,100
58.039,99
58.079,131
58.039,105
58.079,131
58.099,104
58.152,100
58.142,105
58.22,89
58.222,105
58.265,133
58.222,105
58.262,131
58.225,100
58.265,133
58.692,88
58.755,78
58.771,135
58.808,143
58.772,136
58.808,143
58.921,142
58.973,147
58.977,88
59.055,159
58.973,147
59.018,142
58.983,143
59.048,136
59.001,144
59.055,159
59.051,147
59.09,144
59.09,144
59.129,147
59.09,159
59.13,149
59.09,136
59.131,143
59.123,141
59.163,148
59.123,148
59.163,141
59.176,147
59.215,164
59.176,144
59.215,164
59.183,141
59.224,165
59.188,148
59.224,165
59.216,135
59.267,166
59.229,88
59.267,166
59.229,155
59.269,167
59.229,149
59.269,167
59.45,166
59.478,180
59.45,78
59.486,143
59.45,143
59.486,78
59.478,88
59.503,166
59.591,167
59.628,149
59.652,164
59.689,147
59.615,147
59.652,164
59.628,149
59.67,167
59.85,182
59.89,183
59.98,202
60.025,164
18.12,218
18.155,220
18.191,220
18.227,218
30.876,224
30.936,225
30.876,224
30.939,227
31.015,225
31.075,227
31.015,225
31.083,226
33.994,227
34.054,226
34.114,226
34.175,227
43.479,226
43.577,235
6.669,245
6.707,238
7.083,241
7.146,237
7.133,238
7.197,240
7.204,237
7.272,239
7.352,239
7.452,240
8.329,249
8.429,239
8.844,240
8.908,238
8.844,239
8.908,237
13.098,250
13.172,251
13.211,251
13.303,250
13.255,237
13.336,239
13.402,238
13.461,240
14.327,240
14.392,238
14.327,239
14.392,237
14.459,239
14.519,252
14.92,240
14.989,252
25.03,238
25.094,240
25.03,237
25.094,239
26.465,239
26.528,237
26.465,240
26.528,238
30.149,238
30.214,258
53.414,261
53.503,259
53.414,261
53.503,260
53.982,259
54.063,265
54.443,259
54.523,262
60.558,262
60.635,259
60.558,259
60.635,262
60.818,259
60.903,266
60.849,262
60.903,266
0.193,0
0.203,4
0.227,0
0.237,5
0.229,4
0.239,6
0.517,0
0.527,16
0.7,4
0.71,24
0.81,21
0.82,27
0.858,21
0.868,28
0.866,27
0.876,29
1.361,29
1.371,34
1.42,5
1.43,35
1.72,33
1.73,42
1.75,30
1.76,43
3.849,29
3.859,48
4.101,29
4.111,49
5.231,49
5.241,50
12.7,51
12.71,52
13.653,29
13.663,53
18.952,29
18.962,54
22.712,29
22.722,55
30.412,56
30.422,60
30.59,60
30.6,64
33.566,56
33.576,69
36.91,72
36.92,73
36.976,56
36.986,74
37.395,74
37.405,76
46.047,79
46.057,80
46.057,56
46.067,81
46.502,79
46.512,82
46.96,79
46.97,83
48.972,29
48.982,84
49.052,56
49.062,85
49.084,82
49.094,86
49.101,78
49.111,87
51.572,84
51.582,88
55.087,90
55.097,91
55.192,93
55.202,94
55.232,78
55.242,96
55.297,88
55.307,97
56.432,78
56.442,99
56.432,88
56.442,100
56.789,100
56.799,105
56.987,100
56.997,106
56.998,104
57.008,107
57.065,100
57.075,110
57.082,110
57.092,112
57.108,106
57.118,114
57.134,106
57.144,115
57.156,110
57.166,116
57.161,106
57.171,117
57.188,110
57.198,118
57.189,112
57.199,119
57.215,110
57.225,120
57.224,118
57.234,121
57.252,118
57.262,123
57.293,104
57.303,124
57.435,100
57.445,126
58.693,89
58.703,135
58.694,91
58.704,136
58.808,88
58.818,142
58.808,78
58.818,144
58.9,88
58.91,147
58.9,78
58.91,148
58.927,78
58.937,149
59.01,135
59.02,155
59.018,78
59.028,157
59.018,143
59.028,158
59.341,144
59.351,168
59.341,149
59.351,169
59.345,148
59.355,170
59.376,147
59.386,174
59.376,155
59.386,175
59.38,141
59.39,176
59.45,135
59.46,180
59.663,148
59.673,183
59.727,144
59.737,187
59.809,141
59.819,191
59.809,149
59.819,192
59.823,180
59.833,193
