0	0.792
1	0.586
2	0.295
3	0.368
4	0.492
5	0.825
6	0.4
7	0.773
8	0.748
9	0.797
10	0.287
11	0.339
12	0.322
13	0.348
14	0.15
15	0.14
16	0.256
17	0.191
18	0.189
19	0.192
20	0.187
21	0.376
22	0.288
23	0.243
24	0.433
25	0.727
26	0.486
27	0.756
28	0.77
29	0.641
30	0.756
31	0.744
32	0.743
33	0.748
34	0.764
35	0.589
36	0.353
37	0.392
38	0.52
39	0.658
40	0.651
41	0.756
42	0.426
43	0.505
44	0.414
45	0.562
46	0.669
47	0.663
48	0.707
49	0.559
50	0.647
51	0.595
52	0.678
53	0.373
54	0.372
55	0.603
56	0.498
57	0.858
58	0.464
59	0.415
60	0.592
61	0.773
62	0.677
63	0.336
64	0.329
65	0.773
66	0.63
67	0.453
68	0.673
69	0.363
70	0.283
71	0.517
72	0.359
73	0.601
74	0.543
75	0.827
76	0.707
77	0.724
78	0.624
79	0.796
80	0.656
81	0.751
82	0.788
83	0.905
84	0.7
85	0.688
86	0.377
87	0.427
88	0.395
89	0.385
90	0.492
91	0.496
92	0.529
93	0.288
94	0.588
95	0.279
96	0.243
97	0.277
98	0.396
99	0.296
100	0.634
101	0.631
102	0.616
103	0.585
104	0.468
105	0.645
106	0.635
107	0.47
108	0.611
109	0.69
110	0.601
111	0.835
112	0.664
113	0.527
114	0.452
115	0.45
116	0.416
117	0.529
118	0.561
119	0.922
120	0.606
121	0.954
122	0.732
123	0.626
124	0.844
125	0.762
126	0.747
127	0.64
128	0.666
129	0.738
130	0.738
131	0.725
132	0.666
133	0.81
134	0.796
135	0.8
136	0.75
137	0.686
138	0.685
139	0.706
140	0.755
141	0.815
142	0.832
143	0.392
144	0.603
145	0.509
146	0.765
147	0.765
148	0.58
149	0.652
150	0.273
151	0.397
152	0.302
153	0.677
154	0.75
155	0.75
156	0.757
157	0.738
158	0.678
159	0.388
160	0.361
161	0.374
162	0.318
163	0.781
164	0.789
165	0.826
166	0.737
167	0.717
168	0.668
169	0.692
170	0.701
171	0.693
172	0.651
173	1.07
174	0.667
175	0.742
176	0.779
177	0.204
178	0.176
179	0.624
180	0.749
181	0.817
182	1.361
183	0.755
184	0.755
185	0.759
186	0.76
187	0.6
188	0.462
189	0.623
190	0.737
191	0.737
192	0.601
193	0.452
194	0.568
195	0.726
196	0.718
197	0.718
198	0.698
199	0.652
200	0.734
201	0.744
202	0.423
