No 	 BlockSection 	 TDS_ID 	 startX 	 endX 	 length 
1 	 @0-B0@ 	 0-1.000000-3.000556-0 	 0.090000 	 0.195000 	 0.105000
2 	 @0-B0@ 	 0-3.000556-5.000000-0 	 0.195000 	 0.300000 	 0.105000
1 	 @1-B0@ 	 0-5.000000-5.000556-0 	 0.300000 	 0.357000 	 0.057000
2 	 @1-B0@ 	 0-5.000556-7.000000-0 	 0.357000 	 0.414000 	 0.057000
3 	 @1-B0@ 	 0-7.000000-7.000556-0 	 0.414000 	 0.460500 	 0.046500
4 	 @1-B0@ 	 0-7.000556-9.000000-0 	 0.460500 	 0.507000 	 0.046500
5 	 @1-B0@ 	 0-9.000000-9.000556-0 	 0.507000 	 0.553500 	 0.046500
6 	 @1-B0@ 	 0-9.000556-10.000000-0 	 0.553500 	 0.600000 	 0.046500
1 	 @2-B0@ 	 0-10.000000-11.000000-0 	 0.600000 	 0.609000 	 0.009000
2 	 @2-B0@ 	 0-11.000000-12.000556-0 	 0.609000 	 0.754500 	 0.145500
3 	 @2-B0@ 	 0-12.000556-14.000000-0 	 0.754500 	 0.900000 	 0.145500
1 	 @3-B0@ 	 0-14.000000-15.000556-0 	 0.900000 	 1.050500 	 0.150500
2 	 @3-B0@ 	 0-15.000556-14.310000-0 	 1.050500 	 1.201000 	 0.150500
1 	 @4-B0@ 	 0-14.310000-18.000556-0 	 1.201000 	 1.351500 	 0.150500
2 	 @4-B0@ 	 0-18.000556-14.620000-0 	 1.351500 	 1.502000 	 0.150500
1 	 @5-B0@ 	 0-14.620000-21.000556-0 	 1.502000 	 1.652500 	 0.150500
2 	 @5-B0@ 	 0-21.000556-14.930000-0 	 1.652500 	 1.803000 	 0.150500
1 	 @6-B0@ 	 0-14.930000-24.000556-0 	 1.803000 	 1.953500 	 0.150500
2 	 @6-B0@ 	 0-24.000556-15.240000-0 	 1.953500 	 2.104000 	 0.150500
1 	 @7-B0@ 	 0-15.240000-27.000556-0 	 2.104000 	 2.254500 	 0.150500
2 	 @7-B0@ 	 0-27.000556-15.550000-0 	 2.254500 	 2.405000 	 0.150500
1 	 @8-B0@ 	 0-15.550000-30.000556-0 	 2.405000 	 2.555500 	 0.150500
2 	 @8-B0@ 	 0-30.000556-15.860000-0 	 2.555500 	 2.706000 	 0.150500
1 	 @9-B0@ 	 0-15.860000-33.000556-0 	 2.706000 	 2.856500 	 0.150500
2 	 @9-B0@ 	 0-33.000556-16.170000-0 	 2.856500 	 3.007000 	 0.150500
1 	 @10-B0@ 	 0-16.170000-36.000556-0 	 3.007000 	 3.157500 	 0.150500
2 	 @10-B0@ 	 0-36.000556-16.480000-0 	 3.157500 	 3.308000 	 0.150500
1 	 @11-B0@ 	 0-16.480000-39.000556-0 	 3.308000 	 3.458500 	 0.150500
2 	 @11-B0@ 	 0-39.000556-16.790000-0 	 3.458500 	 3.609000 	 0.150500
1 	 @12-B0@ 	 0-16.790000-42.000556-0 	 3.609000 	 3.759500 	 0.150500
2 	 @12-B0@ 	 0-42.000556-17.100000-0 	 3.759500 	 3.910000 	 0.150500
1 	 @13-B0@ 	 0-17.100000-45.000556-0 	 3.910000 	 4.060000 	 0.150000
2 	 @13-B0@ 	 0-45.000556-17.410000-0 	 4.060000 	 4.210000 	 0.150000
1 	 @14-B0@ 	 0-17.410000-48.000556-0 	 4.210000 	 4.360000 	 0.150000
2 	 @14-B0@ 	 0-48.000556-17.720000-0 	 4.360000 	 4.510000 	 0.150000
1 	 @15-B0@ 	 0-17.720000-52.000556-0 	 4.510000 	 4.660000 	 0.150000
2 	 @15-B0@ 	 0-52.000556-18.030000-0 	 4.660000 	 4.810000 	 0.150000
1 	 @16-B0@ 	 0-18.030000-55.000556-0 	 4.810000 	 4.960000 	 0.150000
2 	 @16-B0@ 	 0-55.000556-18.340000-0 	 4.960000 	 5.110000 	 0.150000
1 	 @17-B0@ 	 0-18.340000-58.000556-0 	 5.110000 	 5.260000 	 0.150000
2 	 @17-B0@ 	 0-58.000556-18.650000-0 	 5.260000 	 5.410000 	 0.150000
1 	 @18-B0@ 	 0-18.650000-61.000556-0 	 5.410000 	 5.560000 	 0.150000
2 	 @18-B0@ 	 0-61.000556-18.960000-0 	 5.560000 	 5.710000 	 0.150000
1 	 @19-B0@ 	 0-18.960000-64.000556-0 	 5.710000 	 5.860000 	 0.150000
2 	 @19-B0@ 	 0-64.000556-19.270000-0 	 5.860000 	 6.010000 	 0.150000
1 	 @20-B0@ 	 0-19.270000-67.000556-0 	 6.010000 	 6.160000 	 0.150000
2 	 @20-B0@ 	 0-67.000556-19.580000-0 	 6.160000 	 6.310000 	 0.150000
1 	 @21-B0@ 	 0-19.580000-70.000556-0 	 6.310000 	 6.460000 	 0.150000
2 	 @21-B0@ 	 0-70.000556-19.890000-0 	 6.460000 	 6.610000 	 0.150000
1 	 @22-B0@ 	 0-19.890000-73.000556-0 	 6.610000 	 6.760000 	 0.150000
2 	 @22-B0@ 	 0-73.000556-20.200000-0 	 6.760000 	 6.910000 	 0.150000
1 	 @23-B0@ 	 0-20.200000-76.000556-0 	 6.910000 	 7.060000 	 0.150000
2 	 @23-B0@ 	 0-76.000556-20.510000-0 	 7.060000 	 7.210000 	 0.150000
1 	 @24-B0@ 	 0-20.510000-79.000556-0 	 7.210000 	 7.360000 	 0.150000
2 	 @24-B0@ 	 0-79.000556-20.820000-0 	 7.360000 	 7.510000 	 0.150000
1 	 @25-B0@ 	 0-20.820000-82.000000-0 	 7.510000 	 7.547000 	 0.037000
2 	 @25-B0@ 	 0-82.000000-83.000556-0 	 7.547000 	 7.628500 	 0.081500
3 	 @25-B0@ 	 0-83.000556-21.130000-0 	 7.628500 	 7.710000 	 0.081500
1 	 @26-B0@ 	 0-21.130000-87.000556-0 	 7.710000 	 7.910000 	 0.200000
2 	 @26-B0@ 	 0-87.000556-21.440000-0 	 7.910000 	 8.110000 	 0.200000
1 	 @27-B0@ 	 0-21.440000-90.000556-0 	 8.110000 	 8.218000 	 0.108000
2 	 @27-B0@ 	 0-90.000556-92.000000-0 	 8.218000 	 8.326000 	 0.108000
3 	 @27-B0@ 	 0-92.000000-92.000556-0 	 8.326000 	 8.368500 	 0.042500
4 	 @27-B0@ 	 0-92.000556-21.750000-0 	 8.368500 	 8.411000 	 0.042500
1 	 @28-B0@ 	 0-21.750000-94.000556-0 	 8.411000 	 8.561500 	 0.150500
2 	 @28-B0@ 	 0-94.000556-22.060000-0 	 8.561500 	 8.712000 	 0.150500
1 	 @29-B0@ 	 0-22.060000-97.000556-0 	 8.712000 	 8.862500 	 0.150500
2 	 @29-B0@ 	 0-97.000556-22.370000-0 	 8.862500 	 9.013000 	 0.150500
1 	 @30-B0@ 	 0-22.370000-100.000556-0 	 9.013000 	 9.163500 	 0.150500
2 	 @30-B0@ 	 0-100.000556-22.680000-0 	 9.163500 	 9.314000 	 0.150500
1 	 @31-B0@ 	 0-22.680000-103.000556-0 	 9.314000 	 9.464500 	 0.150500
2 	 @31-B0@ 	 0-103.000556-22.990000-0 	 9.464500 	 9.615000 	 0.150500
1 	 @32-B0@ 	 0-22.990000-106.000556-0 	 9.615000 	 9.765500 	 0.150500
2 	 @32-B0@ 	 0-106.000556-23.300000-0 	 9.765500 	 9.916000 	 0.150500
1 	 @33-B0@ 	 0-23.300000-109.000556-0 	 9.916000 	 10.066500 	 0.150500
2 	 @33-B0@ 	 0-109.000556-23.610000-0 	 10.066500 	 10.217000 	 0.150500
1 	 @34-B0@ 	 0-23.610000-113.000556-0 	 10.217000 	 10.367500 	 0.150500
2 	 @34-B0@ 	 0-113.000556-23.920000-0 	 10.367500 	 10.518000 	 0.150500
1 	 @35-B0@ 	 0-23.920000-116.000556-0 	 10.518000 	 10.668500 	 0.150500
2 	 @35-B0@ 	 0-116.000556-24.230000-0 	 10.668500 	 10.819000 	 0.150500
1 	 @36-B0@ 	 0-24.230000-119.000556-0 	 10.819000 	 10.969500 	 0.150500
2 	 @36-B0@ 	 0-119.000556-24.540000-0 	 10.969500 	 11.120000 	 0.150500
1 	 @37-B0@ 	 0-24.540000-122.000556-0 	 11.120000 	 11.270500 	 0.150500
2 	 @37-B0@ 	 0-122.000556-24.850000-0 	 11.270500 	 11.421000 	 0.150500
1 	 @38-B0@ 	 0-24.850000-125.000556-0 	 11.421000 	 11.571500 	 0.150500
2 	 @38-B0@ 	 0-125.000556-25.160000-0 	 11.571500 	 11.722000 	 0.150500
1 	 @39-B0@ 	 0-25.160000-129.000556-0 	 11.722000 	 11.872500 	 0.150500
2 	 @39-B0@ 	 0-129.000556-25.470000-0 	 11.872500 	 12.023000 	 0.150500
1 	 @40-B0@ 	 0-25.470000-132.000556-0 	 12.023000 	 12.173500 	 0.150500
2 	 @40-B0@ 	 0-132.000556-25.780000-0 	 12.173500 	 12.324000 	 0.150500
1 	 @41-B0@ 	 0-25.780000-135.000556-0 	 12.324000 	 12.474500 	 0.150500
2 	 @41-B0@ 	 0-135.000556-26.090000-0 	 12.474500 	 12.625000 	 0.150500
1 	 @42-B0@ 	 0-26.090000-138.000556-0 	 12.625000 	 12.775500 	 0.150500
2 	 @42-B0@ 	 0-138.000556-26.400000-0 	 12.775500 	 12.926000 	 0.150500
1 	 @43-B0@ 	 0-26.400000-141.000556-0 	 12.926000 	 13.076500 	 0.150500
2 	 @43-B0@ 	 0-141.000556-26.710000-0 	 13.076500 	 13.227000 	 0.150500
1 	 @44-B0@ 	 0-26.710000-144.000556-0 	 13.227000 	 13.377500 	 0.150500
2 	 @44-B0@ 	 0-144.000556-27.020000-0 	 13.377500 	 13.528000 	 0.150500
1 	 @45-B0@ 	 0-27.020000-147.000556-0 	 13.528000 	 13.678500 	 0.150500
2 	 @45-B0@ 	 0-147.000556-27.330000-0 	 13.678500 	 13.829000 	 0.150500
1 	 @46-B0@ 	 0-27.330000-150.000556-0 	 13.829000 	 13.979500 	 0.150500
2 	 @46-B0@ 	 0-150.000556-27.640000-0 	 13.979500 	 14.130000 	 0.150500
1 	 @47-B0@ 	 0-27.640000-153.000556-0 	 14.130000 	 14.280500 	 0.150500
2 	 @47-B0@ 	 0-153.000556-27.950000-0 	 14.280500 	 14.431000 	 0.150500
1 	 @48-B0@ 	 0-27.950000-156.000556-0 	 14.431000 	 14.581500 	 0.150500
2 	 @48-B0@ 	 0-156.000556-28.260000-0 	 14.581500 	 14.732000 	 0.150500
1 	 @49-B0@ 	 0-28.260000-159.000556-0 	 14.732000 	 14.882500 	 0.150500
2 	 @49-B0@ 	 0-159.000556-28.570000-0 	 14.882500 	 15.033000 	 0.150500
1 	 @50-B0@ 	 0-28.570000-28.570556-0 	 15.033000 	 15.098500 	 0.065500
2 	 @50-B0@ 	 0-28.570556-163.000000-0 	 15.098500 	 15.164000 	 0.065500
3 	 @50-B0@ 	 0-163.000000-164.000556-0 	 15.164000 	 15.249000 	 0.085000
4 	 @50-B0@ 	 0-164.000556-28.880000-0 	 15.249000 	 15.334000 	 0.085000
1 	 @51-B0@ 	 0-28.880000-166.000556-0 	 15.334000 	 15.484500 	 0.150500
2 	 @51-B0@ 	 0-166.000556-29.190000-0 	 15.484500 	 15.635000 	 0.150500
1 	 @52-B0@ 	 0-29.190000-170.000556-0 	 15.635000 	 15.760000 	 0.125000
2 	 @52-B0@ 	 0-170.000556-29.500000-0 	 15.760000 	 15.885000 	 0.125000
1 	 @53-B0@ 	 0-29.500000-172.000000-0 	 15.885000 	 15.900000 	 0.015000
2 	 @53-B0@ 	 0-172.000000-173.000556-0 	 15.900000 	 16.018000 	 0.118000
3 	 @53-B0@ 	 0-173.000556-29.810000-0 	 16.018000 	 16.136000 	 0.118000
1 	 @54-B0@ 	 0-29.810000-175.000556-0 	 16.136000 	 16.285999 	 0.149999
2 	 @54-B0@ 	 0-175.000556-30.120000-0 	 16.285999 	 16.436000 	 0.150001
1 	 @55-B0@ 	 0-30.120000-178.000556-0 	 16.436000 	 16.586000 	 0.150000
2 	 @55-B0@ 	 0-178.000556-30.430000-0 	 16.586000 	 16.736000 	 0.150000
1 	 @56-B0@ 	 0-30.430000-181.000556-0 	 16.736000 	 16.886000 	 0.150000
2 	 @56-B0@ 	 0-181.000556-30.740000-0 	 16.886000 	 17.036000 	 0.150000
1 	 @57-B0@ 	 0-30.740000-184.000556-0 	 17.036000 	 17.186001 	 0.150001
2 	 @57-B0@ 	 0-184.000556-31.050000-0 	 17.186001 	 17.336000 	 0.149999
1 	 @58-B0@ 	 0-31.050000-187.000556-0 	 17.336000 	 17.486000 	 0.150000
2 	 @58-B0@ 	 0-187.000556-31.360000-0 	 17.486000 	 17.636000 	 0.150000
1 	 @59-B0@ 	 0-31.360000-190.000556-0 	 17.636000 	 17.785999 	 0.149999
2 	 @59-B0@ 	 0-190.000556-31.670000-0 	 17.785999 	 17.936000 	 0.150001
1 	 @60-B0@ 	 0-31.670000-193.000556-0 	 17.936000 	 18.086000 	 0.150000
2 	 @60-B0@ 	 0-193.000556-31.980000-0 	 18.086000 	 18.236000 	 0.150000
1 	 @61-B0@ 	 0-31.980000-196.000556-0 	 18.236000 	 18.386000 	 0.150000
2 	 @61-B0@ 	 0-196.000556-32.290000-0 	 18.386000 	 18.536000 	 0.150000
1 	 @62-B0@ 	 0-32.290000-200.000556-0 	 18.536000 	 18.686001 	 0.150001
2 	 @62-B0@ 	 0-200.000556-32.600000-0 	 18.686001 	 18.836000 	 0.149999
1 	 @63-B0@ 	 0-32.600000-203.000556-0 	 18.836000 	 18.986000 	 0.150000
2 	 @63-B0@ 	 0-203.000556-32.910000-0 	 18.986000 	 19.136000 	 0.150000
1 	 @64-B0@ 	 0-32.910000-206.000556-0 	 19.136000 	 19.285999 	 0.149999
2 	 @64-B0@ 	 0-206.000556-33.220000-0 	 19.285999 	 19.436000 	 0.150001
1 	 @65-B0@ 	 0-33.220000-209.000556-0 	 19.436000 	 19.586000 	 0.150000
2 	 @65-B0@ 	 0-209.000556-33.530000-0 	 19.586000 	 19.736000 	 0.150000
1 	 @66-B0@ 	 0-33.530000-212.000556-0 	 19.736000 	 19.886000 	 0.150000
2 	 @66-B0@ 	 0-212.000556-33.840000-0 	 19.886000 	 20.036000 	 0.150000
1 	 @67-B0@ 	 0-33.840000-215.000556-0 	 20.036000 	 20.186001 	 0.150001
2 	 @67-B0@ 	 0-215.000556-34.150000-0 	 20.186001 	 20.336000 	 0.149999
1 	 @68-B0@ 	 0-34.150000-218.000556-0 	 20.336000 	 20.486000 	 0.150000
2 	 @68-B0@ 	 0-218.000556-34.460000-0 	 20.486000 	 20.636000 	 0.150000
1 	 @69-B0@ 	 0-34.460000-222.000556-0 	 20.636000 	 20.785999 	 0.149999
2 	 @69-B0@ 	 0-222.000556-34.770000-0 	 20.785999 	 20.936000 	 0.150001
1 	 @70-B0@ 	 0-34.770000-225.000556-0 	 20.936000 	 21.086000 	 0.150000
2 	 @70-B0@ 	 0-225.000556-35.080000-0 	 21.086000 	 21.236000 	 0.150000
1 	 @71-B0@ 	 0-35.080000-228.000556-0 	 21.236000 	 21.386000 	 0.150000
2 	 @71-B0@ 	 0-228.000556-35.390000-0 	 21.386000 	 21.536000 	 0.150000
1 	 @72-B0@ 	 0-35.390000-231.000556-0 	 21.536000 	 21.686001 	 0.150001
2 	 @72-B0@ 	 0-231.000556-35.700000-0 	 21.686001 	 21.836000 	 0.149999
1 	 @73-B0@ 	 0-35.700000-234.000556-0 	 21.836000 	 21.986000 	 0.150000
2 	 @73-B0@ 	 0-234.000556-36.010000-0 	 21.986000 	 22.136000 	 0.150000
1 	 @74-B0@ 	 0-36.010000-237.000556-0 	 22.136000 	 22.285999 	 0.149999
2 	 @74-B0@ 	 0-237.000556-36.320000-0 	 22.285999 	 22.436000 	 0.150001
1 	 @75-B0@ 	 0-36.320000-240.000556-0 	 22.436000 	 22.586000 	 0.150000
2 	 @75-B0@ 	 0-240.000556-36.630000-0 	 22.586000 	 22.736000 	 0.150000
1 	 @76-B0@ 	 0-36.630000-243.000556-0 	 22.736000 	 22.812500 	 0.076500
2 	 @76-B0@ 	 0-243.000556-244.000000-0 	 22.812500 	 22.889000 	 0.076500
3 	 @76-B0@ 	 0-244.000000-245.000556-0 	 22.889000 	 22.937500 	 0.048500
4 	 @76-B0@ 	 0-245.000556-36.940000-0 	 22.937500 	 22.986000 	 0.048500
1 	 @77-B0@ 	 0-36.940000-246.000556-0 	 22.986000 	 23.030500 	 0.044500
2 	 @77-B0@ 	 0-246.000556-247.000000-0 	 23.030500 	 23.075000 	 0.044500
3 	 @77-B0@ 	 0-247.000000-248.000556-0 	 23.075000 	 23.180500 	 0.105500
4 	 @77-B0@ 	 0-248.000556-37.250000-0 	 23.180500 	 23.286000 	 0.105500
1 	 @78-B0@ 	 0-37.250000-251.000556-0 	 23.286000 	 23.436001 	 0.150001
2 	 @78-B0@ 	 0-251.000556-37.560000-0 	 23.436001 	 23.586000 	 0.149999
1 	 @79-B0@ 	 0-37.560000-253.000556-0 	 23.586000 	 23.693001 	 0.107001
2 	 @79-B0@ 	 0-253.000556-255.000000-0 	 23.693001 	 23.800000 	 0.106999
3 	 @79-B0@ 	 0-255.000000-255.000556-0 	 23.800000 	 23.818001 	 0.018001
4 	 @79-B0@ 	 0-255.000556-37.870000-0 	 23.818001 	 23.836000 	 0.017999
1 	 @80-B0@ 	 0-37.870000-256.000556-0 	 23.836000 	 23.910999 	 0.074999
2 	 @80-B0@ 	 0-256.000556-38.180000-0 	 23.910999 	 23.986000 	 0.075001
1 	 @81-B0@ 	 0-38.180000-258.000556-0 	 23.986000 	 24.032000 	 0.046000
2 	 @81-B0@ 	 0-258.000556-259.000000-0 	 24.032000 	 24.078000 	 0.046000
3 	 @81-B0@ 	 0-259.000000-260.000556-0 	 24.078000 	 24.162001 	 0.084001
4 	 @81-B0@ 	 0-260.000556-38.490000-0 	 24.162001 	 24.246000 	 0.083999
1 	 @82-B0@ 	 0-38.490000-38.490556-0 	 24.246000 	 24.283001 	 0.037001
2 	 @82-B0@ 	 0-38.490556-263.000000-0 	 24.283001 	 24.320000 	 0.036999
3 	 @82-B0@ 	 0-263.000000-264.000556-0 	 24.320000 	 24.433001 	 0.113001
4 	 @82-B0@ 	 0-264.000556-38.800000-0 	 24.433001 	 24.546000 	 0.112999
1 	 @83-B0@ 	 0-38.800000-266.000556-0 	 24.546000 	 24.695999 	 0.149999
2 	 @83-B0@ 	 0-266.000556-39.110000-0 	 24.695999 	 24.846000 	 0.150001
1 	 @84-B0@ 	 0-39.110000-269.000556-0 	 24.846000 	 24.996000 	 0.150000
2 	 @84-B0@ 	 0-269.000556-39.420000-0 	 24.996000 	 25.146000 	 0.150000
1 	 @85-B0@ 	 0-39.420000-272.000556-0 	 25.146000 	 25.296000 	 0.150000
2 	 @85-B0@ 	 0-272.000556-39.730000-0 	 25.296000 	 25.446000 	 0.150000
1 	 @86-B0@ 	 0-39.730000-275.000556-0 	 25.446000 	 25.596001 	 0.150001
2 	 @86-B0@ 	 0-275.000556-40.040000-0 	 25.596001 	 25.746000 	 0.149999
1 	 @87-B0@ 	 0-40.040000-279.000556-0 	 25.746000 	 25.896000 	 0.150000
2 	 @87-B0@ 	 0-279.000556-40.350000-0 	 25.896000 	 26.046000 	 0.150000
1 	 @88-B0@ 	 0-40.350000-282.000556-0 	 26.046000 	 26.195999 	 0.149999
2 	 @88-B0@ 	 0-282.000556-40.660000-0 	 26.195999 	 26.346000 	 0.150001
1 	 @89-B0@ 	 0-40.660000-285.000556-0 	 26.346000 	 26.496000 	 0.150000
2 	 @89-B0@ 	 0-285.000556-40.970000-0 	 26.496000 	 26.646000 	 0.150000
1 	 @90-B0@ 	 0-40.970000-288.000556-0 	 26.646000 	 26.796000 	 0.150000
2 	 @90-B0@ 	 0-288.000556-41.280000-0 	 26.796000 	 26.946000 	 0.150000
1 	 @91-B0@ 	 0-41.280000-292.000556-0 	 26.946000 	 27.096001 	 0.150001
2 	 @91-B0@ 	 0-292.000556-41.590000-0 	 27.096001 	 27.246000 	 0.149999
1 	 @92-B0@ 	 0-41.590000-295.000556-0 	 27.246000 	 27.396000 	 0.150000
2 	 @92-B0@ 	 0-295.000556-41.900000-0 	 27.396000 	 27.546000 	 0.150000
1 	 @93-B0@ 	 0-41.900000-298.000556-0 	 27.546000 	 27.695999 	 0.149999
2 	 @93-B0@ 	 0-298.000556-42.210000-0 	 27.695999 	 27.846000 	 0.150001
1 	 @94-B0@ 	 0-42.210000-301.000556-0 	 27.846000 	 27.996000 	 0.150000
2 	 @94-B0@ 	 0-301.000556-42.520000-0 	 27.996000 	 28.146000 	 0.150000
1 	 @95-B0@ 	 0-42.520000-304.000556-0 	 28.146000 	 28.296000 	 0.150000
2 	 @95-B0@ 	 0-304.000556-42.830000-0 	 28.296000 	 28.446000 	 0.150000
1 	 @96-B0@ 	 0-42.830000-307.000556-0 	 28.446000 	 28.596001 	 0.150001
2 	 @96-B0@ 	 0-307.000556-43.140000-0 	 28.596001 	 28.746000 	 0.149999
1 	 @97-B0@ 	 0-43.140000-310.000556-0 	 28.746000 	 28.896000 	 0.150000
2 	 @97-B0@ 	 0-310.000556-43.450000-0 	 28.896000 	 29.046000 	 0.150000
1 	 @98-B0@ 	 0-43.450000-313.000556-0 	 29.046000 	 29.171000 	 0.125000
2 	 @98-B0@ 	 0-313.000556-43.760000-0 	 29.171000 	 29.296000 	 0.125000
1 	 @99-B0@ 	 0-43.760000-316.000000-0 	 29.296000 	 29.310000 	 0.014000
2 	 @99-B0@ 	 0-316.000000-316.000556-0 	 29.310000 	 29.390499 	 0.080499
3 	 @99-B0@ 	 0-316.000556-318.000000-0 	 29.390499 	 29.471000 	 0.080501
4 	 @99-B0@ 	 0-318.000000-318.000556-0 	 29.471000 	 29.483500 	 0.012500
5 	 @99-B0@ 	 0-318.000556-44.070000-0 	 29.483500 	 29.496000 	 0.012500
1 	 @100-B0@ 	 0-44.070000-320.000556-0 	 29.496000 	 29.656000 	 0.160000
2 	 @100-B0@ 	 0-320.000556-44.380000-0 	 29.656000 	 29.816000 	 0.160000
1 	 @101-B0@ 	 0-44.380000-323.000556-0 	 29.816000 	 29.952999 	 0.136999
2 	 @101-B0@ 	 0-323.000556-325.000000-0 	 29.952999 	 30.090000 	 0.137001
3 	 @101-B0@ 	 0-325.000000-326.000556-0 	 30.090000 	 30.113001 	 0.023001
4 	 @101-B0@ 	 0-326.000556-44.690000-0 	 30.113001 	 30.136000 	 0.022999
1 	 @102-B0@ 	 0-44.690000-327.000556-0 	 30.136000 	 30.296000 	 0.160000
2 	 @102-B0@ 	 0-327.000556-45.000000-0 	 30.296000 	 30.456000 	 0.160000
1 	 @103-B0@ 	 0-45.000000-331.000556-0 	 30.456000 	 30.615999 	 0.159999
2 	 @103-B0@ 	 0-331.000556-45.310000-0 	 30.615999 	 30.776000 	 0.160001
1 	 @104-B0@ 	 0-45.310000-334.000556-0 	 30.776000 	 30.936001 	 0.160001
2 	 @104-B0@ 	 0-334.000556-45.620000-0 	 30.936001 	 31.096000 	 0.159999
1 	 @105-B0@ 	 0-45.620000-338.000556-0 	 31.096000 	 31.246000 	 0.150000
2 	 @105-B0@ 	 0-338.000556-45.930000-0 	 31.246000 	 31.396000 	 0.150000
1 	 @106-B0@ 	 0-45.930000-341.000556-0 	 31.396000 	 31.546499 	 0.150499
2 	 @106-B0@ 	 0-341.000556-46.240000-0 	 31.546499 	 31.697000 	 0.150501
1 	 @107-B0@ 	 0-46.240000-344.000556-0 	 31.697000 	 31.847500 	 0.150500
2 	 @107-B0@ 	 0-344.000556-46.550000-0 	 31.847500 	 31.998000 	 0.150500
1 	 @108-B0@ 	 0-46.550000-347.000556-0 	 31.998000 	 32.148499 	 0.150499
2 	 @108-B0@ 	 0-347.000556-46.860000-0 	 32.148499 	 32.299000 	 0.150501
1 	 @109-B0@ 	 0-46.860000-350.000556-0 	 32.299000 	 32.449501 	 0.150501
2 	 @109-B0@ 	 0-350.000556-353.000000-0 	 32.449501 	 32.600000 	 0.150499
1 	 @110-B0@ 	 0-353.000000-354.000556-0 	 32.600000 	 32.750500 	 0.150500
2 	 @110-B0@ 	 0-354.000556-353.310000-0 	 32.750500 	 32.901000 	 0.150500
1 	 @111-B0@ 	 0-353.310000-357.000556-0 	 32.901000 	 33.051498 	 0.150498
2 	 @111-B0@ 	 0-357.000556-353.620000-0 	 33.051498 	 33.202000 	 0.150502
1 	 @112-B0@ 	 0-353.620000-360.000556-0 	 33.202000 	 33.352501 	 0.150501
2 	 @112-B0@ 	 0-360.000556-353.930000-0 	 33.352501 	 33.503000 	 0.150499
1 	 @113-B0@ 	 0-353.930000-364.000556-0 	 33.503000 	 33.653500 	 0.150500
2 	 @113-B0@ 	 0-364.000556-354.240000-0 	 33.653500 	 33.804000 	 0.150500
1 	 @114-B0@ 	 0-354.240000-367.000556-0 	 33.804000 	 33.954498 	 0.150498
2 	 @114-B0@ 	 0-367.000556-354.550000-0 	 33.954498 	 34.105000 	 0.150502
1 	 @115-B0@ 	 0-354.550000-370.000556-0 	 34.105000 	 34.240501 	 0.135501
2 	 @115-B0@ 	 0-370.000556-372.000000-0 	 34.240501 	 34.376000 	 0.135499
3 	 @115-B0@ 	 0-372.000000-372.000556-0 	 34.376000 	 34.390999 	 0.014999
4 	 @115-B0@ 	 0-372.000556-354.860000-0 	 34.390999 	 34.406000 	 0.015001
1 	 @116-B0@ 	 0-354.860000-374.000556-0 	 34.406000 	 34.531502 	 0.125502
2 	 @116-B0@ 	 0-374.000556-355.170000-0 	 34.531502 	 34.657000 	 0.125498
1 	 @117-B0@ 	 0-355.170000-377.000000-0 	 34.657000 	 34.678000 	 0.021000
2 	 @117-B0@ 	 0-377.000000-378.000556-0 	 34.678000 	 34.703499 	 0.025499
3 	 @117-B0@ 	 0-378.000556-379.000000-0 	 34.703499 	 34.729000 	 0.025501
4 	 @117-B0@ 	 0-379.000000-380.000556-0 	 34.729000 	 34.843498 	 0.114498
5 	 @117-B0@ 	 0-380.000556-355.480000-0 	 34.843498 	 34.958000 	 0.114502
1 	 @118-B0@ 	 0-355.480000-384.000556-0 	 34.958000 	 35.108501 	 0.150501
2 	 @118-B0@ 	 0-384.000556-355.790000-0 	 35.108501 	 35.259000 	 0.150499
1 	 @119-B0@ 	 0-355.790000-387.000556-0 	 35.259000 	 35.409500 	 0.150500
2 	 @119-B0@ 	 0-387.000556-356.100000-0 	 35.409500 	 35.560000 	 0.150500
1 	 @120-B0@ 	 0-356.100000-390.000556-0 	 35.560000 	 35.710499 	 0.150499
2 	 @120-B0@ 	 0-390.000556-356.410000-0 	 35.710499 	 35.861000 	 0.150501
1 	 @121-B0@ 	 0-356.410000-394.000556-0 	 35.861000 	 36.011501 	 0.150501
2 	 @121-B0@ 	 0-394.000556-356.720000-0 	 36.011501 	 36.162000 	 0.150499
1 	 @122-B0@ 	 0-356.720000-397.000556-0 	 36.162000 	 36.312500 	 0.150500
2 	 @122-B0@ 	 0-397.000556-357.030000-0 	 36.312500 	 36.463000 	 0.150500
1 	 @123-B0@ 	 0-357.030000-400.000556-0 	 36.463000 	 36.613499 	 0.150499
2 	 @123-B0@ 	 0-400.000556-357.340000-0 	 36.613499 	 36.764000 	 0.150501
1 	 @124-B0@ 	 0-357.340000-403.000556-0 	 36.764000 	 36.914501 	 0.150501
2 	 @124-B0@ 	 0-403.000556-357.650000-0 	 36.914501 	 37.065000 	 0.150499
1 	 @125-B0@ 	 0-357.650000-405.000556-0 	 37.065000 	 37.180000 	 0.115000
2 	 @125-B0@ 	 0-405.000556-357.960000-0 	 37.180000 	 37.295000 	 0.115000
1 	 @126-B0@ 	 0-357.960000-408.000556-0 	 37.295000 	 37.368000 	 0.073000
2 	 @126-B0@ 	 0-408.000556-410.000000-0 	 37.368000 	 37.441000 	 0.073000
