1	49.4	0
2	49.449	0
3	49.5	0
4	49.569	0
5	49.6	0
6	49.7	0
7	49.8	0
8	49.856	0
9	49.900999999999996	0
10	49.95	0
11	50.0	0
12	50.1	0
13	50.2	0
14	50.3	0
15	50.4	0
16	50.5	0
17	50.6	0
18	50.7	0
19	50.8	0
20	50.9	0
21	51.0	0
22	51.066	0
23	51.1	0
24	51.2	0
25	51.3	0
26	51.4	0
27	51.5	0
28	51.6	0
29	51.7	0
30	51.8	0
31	51.9	0
32	52.0	0
33	52.1	0
34	52.2	0
35	52.3	0
36	52.4	0
37	52.5	0
38	52.6	0
39	52.7	0
40	52.8	0
41	52.9	0
42	53.0	0
43	53.1	0
44	53.2	0
45	53.3	0
46	53.4	0
47	53.461	0
48	53.5	0
49	53.6	0
50	53.7	0
51	53.8	0
52	53.9	0
53	54.0	0
54	54.1	0
55	54.2	0
56	54.3	0
57	54.4	0
58	54.5	0
59	54.6	0
60	54.7	0
61	54.8	0
62	54.896	0
63	54.9	0
64	54.974	0
65	55.0	0
66	55.089	0
67	55.1	0
68	55.199	0
69	55.2	0
70	55.245	0
