BlockID StartX[Km] EndX[Km]
@10-blockSets29@ 4.0085 4.07
@11-blockSets29@ 4.07 4.12
@12-blockSets29@ 4.12 4.643
@13-blockSets29@ 4.643 5.166
@14-blockSets29@ 5.166 5.596
@15-blockSets29@ 5.596 6.026
@16-blockSets29@ 6.026 6.456
@17-blockSets29@ 6.456 6.886
@18-blockSets29@ 6.886 7.316
@19-blockSets29@ 7.316 7.573
@20-blockSets29@ 7.573 7.746
@21-blockSets29@ 7.746 8.176
@22-blockSets29@ 8.176 8.606
@23-blockSets29@ 8.606 9.036
@24-blockSets29@ 9.036 9.466
@25-blockSets29@ 9.466 9.896
@26-blockSets29@ 9.896 10.326
@27-blockSets29@ 10.326 10.756
@28-blockSets29@ 10.756 11.186
@29-blockSets29@ 11.186 11.616
@30-blockSets29@ 11.616 12.046
@31-blockSets29@ 12.046 12.476
@32-blockSets29@ 12.476 12.906
@33-blockSets29@ 12.906 13.336
@34-blockSets29@ 13.336 13.6325
@35-blockSets29@ 13.6325 13.766
@36-blockSets29@ 13.766 14.196
@37-blockSets29@ 14.196 14.626
@38-blockSets29@ 14.626 15.056
@39-blockSets29@ 15.056 15.486
@40-blockSets29@ 15.486 15.916
@41-blockSets29@ 15.916 16.346
@42-blockSets29@ 16.346 16.776
@43-blockSets29@ 16.776 17.206
@44-blockSets29@ 17.206 17.636
@45-blockSets29@ 17.636 18.066
@46-blockSets29@ 18.066 18.496
@47-blockSets29@ 18.496 18.926
@48-blockSets29@ 18.926 18.966
@49-blockSets29@ 18.966 19.322
@50-blockSets29@ 19.322 19.721
@51-blockSets29@ 19.721 20.11
@52-blockSets29@ 20.11 20.499
@53-blockSets29@ 20.499 20.888
@54-blockSets29@ 20.888 21.277
@55-blockSets29@ 21.277 21.666
@56-blockSets29@ 21.666 22.055
@57-blockSets29@ 22.055 22.444
@58-blockSets29@ 22.444 22.833
@59-blockSets29@ 22.833 23.226
@60-blockSets29@ 23.226 23.656
@61-blockSets29@ 23.656 24.086
@62-blockSets29@ 24.086 24.516
@63-blockSets29@ 24.516 24.946
@64-blockSets29@ 24.946 25.376
@65-blockSets29@ 25.376 25.806
@66-blockSets29@ 25.806 26.236
@67-blockSets29@ 26.236 26.666
@68-blockSets29@ 26.666 27.096
@69-blockSets29@ 27.096 27.526
@70-blockSets29@ 27.526 27.956
