100	1	2	10000.000000	-0.000404	22.222
101	2	3	10000.000000	-0.000404	22.222
102	3	4	10000.000000	-0.000404	22.222
103	4	5	10000.000000	-0.000404	22.222
104	5	6	10000.000000	-0.000983	22.222
105	6	7	10000.000000	-0.000983	36.111
106	7	8	10000.000000	-0.000983	22.222
107	8	9	10000.000000	0.002487	22.222
108	9	10	10000.000000	0.002487	22.222
109	10	11	10000.000000	0.002487	36.111
110	11	12	10000.000000	0.002487	36.111
111	12	13	10000.000000	0.002487	36.111
112	13	14	10000.000000	0.002487	38.889
113	14	15	10000.000000	0.006800	38.889
114	15	16	10000.000000	0.006529	38.889
115	16	17	10000.000000	0.013417	38.889
116	17	18	10000.000000	0.003715	38.889
117	18	19	10000.000000	0.006056	38.889
118	19	20	10000.000000	0.001733	38.889
119	20	21	10000.000000	-0.003798	38.889
120	21	22	10000.000000	-0.005143	38.889
121	22	23	10000.000000	-0.005143	38.889
122	23	24	10000.000000	-0.004333	36.111
123	24	25	10000.000000	-0.005941	36.111
124	25	26	10000.000000	0.005000	36.111
125	26	27	10000.000000	-0.003242	36.111
126	27	28	10000.000000	-0.003242	36.111
127	28	29	10000.000000	0.003333	36.111
128	29	30	10000.000000	-0.001801	36.111
129	30	31	10000.000000	-0.001801	36.111
130	31	32	10000.000000	-0.001257	36.111
131	32	33	10000.000000	0.002198	36.111
132	33	34	10000.000000	0.002198	36.111
133	34	35	10000.000000	0.002198	36.111
134	35	36	10000.000000	-0.000784	36.111
135	36	37	10000.000000	-0.000652	36.111
136	37	38	10000.000000	0.000164	36.111
137	38	39	10000.000000	0.000164	36.111
138	39	40	10000.000000	0.002889	36.111
139	40	41	10000.000000	-0.003514	36.111
140	41	42	10000.000000	-0.003514	36.111
141	42	43	10000.000000	-0.003514	36.111
142	43	44	10000.000000	0.000000	36.111
143	44	45	10000.000000	0.000000	16.667
144	45	46	10000.000000	0.000000	16.667
145	46	47	10000.000000	0.033981	16.667
146	47	48	10000.000000	-0.000071	16.667
147	48	49	10000.000000	-0.000071	16.667
148	49	50	10000.000000	0.004856	16.667
149	50	51	10000.000000	0.004856	16.667
150	51	52	10000.000000	0.000943	16.667
151	52	53	10000.000000	-0.000049	16.667
152	53	54	10000.000000	-0.000049	16.667
153	54	55	10000.000000	0.002555	16.667
154	55	56	10000.000000	0.002555	16.667
155	56	57	10000.000000	0.002555	16.667
156	57	58	10000.000000	0.002555	16.667
157	58	59	10000.000000	0.002555	16.667
158	59	60	10000.000000	0.000249	16.667
159	60	61	10000.000000	-0.000572	16.667
160	61	62	10000.000000	-0.000913	16.667
161	62	63	10000.000000	-0.000913	16.667
162	63	64	10000.000000	-0.000913	16.667
163	64	65	10000.000000	-0.000913	11.111
164	65	66	10000.000000	-0.000137	11.111
165	66	67	10000.000000	-0.000137	11.111
166	67	68	10000.000000	-0.000137	11.111
167	68	69	10000.000000	-0.000137	11.111
168	69	70	10000.000000	-0.000137	11.111
169	70	71	10000.000000	-0.000137	11.111
170	71	72	10000.000000	-0.000137	11.111
171	72	73	10000.000000	-0.000137	11.111
172	73	74	10000.000000	-0.000137	11.111
173	74	75	10000.000000	-0.000137	11.111
174	75	76	10000.000000	-0.000137	11.111
175	76	77	10000.000000	-0.000137	11.111
176	77	78	10000.000000	-0.000137	11.111
177	78	79	10000.000000	-0.000137	11.111
178	79	80	10000.000000	-0.000137	11.111
179	80	81	10000.000000	-0.000137	11.111
180	81	82	10000.000000	-0.000137	11.111
181	82	83	10000.000000	-0.000945	11.111
182	83	84	10000.000000	-0.000945	11.111
183	84	85	10000.000000	-0.000945	11.111
184	85	86	10000.000000	-0.000945	11.111
185	86	87	10000.000000	0.000088	11.111
186	87	88	10000.000000	0.000088	11.111
187	88	89	10000.000000	0.000088	11.111
188	89	90	10000.000000	0.000088	11.111
189	90	91	10000.000000	0.000088	11.111
190	91	92	10000.000000	0.000088	11.111
