0	0.182000
1	0.248000
2	0.430000
3	0.186000
4	0.244000
5	0.430000
6	0.430000
7	0.430000
8	0.430000
9	0.430000
10	0.430000
11	0.430000
12	0.430000
13	0.602000
14	0.258000
15	0.430000
16	0.430000
17	0.430000
18	0.430000
19	0.430000
20	0.430000
21	0.430000
22	0.430000
23	0.334000
24	0.096000
25	0.158000
26	0.272000
27	0.430000
28	0.430000
29	0.015000
30	0.033000
31	0.382000
32	0.430000
33	0.430000
34	0.430000
35	0.114000
36	0.020000
37	0.459500
38	0.039000
39	0.022500
40	0.021000
41	0.023500
42	0.026000
43	0.033000
44	0.029500
45	0.026000
46	0.046000
47	0.042000
48	0.025500
49	0.175000
50	0.187500
51	0.197000
52	0.203500
53	0.029500
54	0.015000
55	0.020000
56	0.021000
57	0.021000
58	0.022000
59	0.022000
