0	1.34
1	0.021
2	1.501
3	1.501
4	1.5
5	1.5
6	0.896
7	0.021
8	0.709
9	0.021
10	1.501
11	1.501
12	1.288
13	0.0125
14	0.0135
15	0.229
16	0.021
17	0.534
18	0.021
19	0.06
20	0.021
21	0.058
22	0.021
23	0.017
24	0.021
25	1.501
26	1.5
27	1.5
28	1.5
29	0.129
30	0.021
31	1.5
32	1.5
33	1.5
34	1.5
35	1.284
36	0.021
37	1.5
38	1.5
39	1.5
40	1.294
41	0.021
42	0.869
43	0.021
44	0.019
45	0.021
46	1.501
47	1.501
48	1.501
49	1.501
50	1.501
51	1.501
52	1.501
53	1.321
54	0.021
55	0.036
56	0.0125
57	0.0135
58	1.501
59	1.501
60	1.501
61	1.265
62	0.021
63	1.501
64	1.501
65	1.501
66	1.501
67	1.501
68	1.501
69	1.501
70	1.501
71	1.5
72	1.5
73	1.5
74	1.5
75	1.053
