BlockID StartX[Km] EndX[Km]
@10-blockSets13@ 43.024 44.497
@11-blockSets13@ 44.497 46.097
@12-blockSets13@ 46.097 47.495
@13-blockSets13@ 47.495 49.08
@14-blockSets13@ 49.08 50.657
@15-blockSets13@ 50.657 52.033
@16-blockSets13@ 52.033 53.112
@17-blockSets13@ 53.112 54.485
@18-blockSets13@ 54.485 55.9
@19-blockSets13@ 55.9 57.25
@20-blockSets13@ 57.25 58.789
@21-blockSets13@ 58.789 59.846
@22-blockSets13@ 59.846 61.518
@23-blockSets13@ 61.518 63.128
@24-blockSets13@ 63.128 64.762
@25-blockSets13@ 64.762 66.112
@26-blockSets13@ 66.112 67.53
@27-blockSets13@ 67.53 68.9
@28-blockSets13@ 68.9 70.35
@29-blockSets13@ 70.35 71.86
@30-blockSets13@ 71.86 73.211
@31-blockSets13@ 73.211 74.593
@32-blockSets13@ 74.593 76.056
@33-blockSets13@ 76.056 77.81
@34-blockSets13@ 77.81 78.752
@0-blockSets14@ 30.06 30.57
@1-blockSets14@ 30.57 31.475
@2-blockSets14@ 31.475 32.905
@3-blockSets14@ 32.905 34.212
@4-blockSets14@ 34.212 36.012
@5-blockSets14@ 36.012 37.647
@6-blockSets14@ 37.647 39.392
@7-blockSets14@ 39.392 41.222
@8-blockSets14@ 41.222 42.746
@9-blockSets14@ 42.746 44.122
@10-blockSets14@ 44.122 45.351
@11-blockSets14@ 45.351 46.847
@12-blockSets14@ 46.847 47.495
@13-blockSets14@ 47.495 48.4
@14-blockSets14@ 48.4 49.08
@15-blockSets14@ 49.08 50.657
@16-blockSets14@ 50.657 52.033
@17-blockSets14@ 52.033 53.112
@18-blockSets14@ 53.112 54.485
@19-blockSets14@ 54.485 55.9
@20-blockSets14@ 55.9 57.25
@21-blockSets14@ 57.25 58.789
@22-blockSets14@ 58.789 59.846
@23-blockSets14@ 59.846 61.518
@24-blockSets14@ 61.518 63.128
@25-blockSets14@ 63.128 64.124
@26-blockSets14@ 64.124 65.725
@27-blockSets14@ 65.725 67.184
@28-blockSets14@ 67.184 67.53
@29-blockSets14@ 67.53 68.9
@30-blockSets14@ 68.9 69.898
@31-blockSets14@ 69.898 71.36
@32-blockSets14@ 71.36 72.74
@33-blockSets14@ 72.74 74.245
@34-blockSets14@ 74.245 75.742
@35-blockSets14@ 75.742 77.279
@36-blockSets14@ 77.279 78.752
@0-blockSets15@ 28.7 28.935
@1-blockSets15@ 28.935 29.372
@2-blockSets15@ 29.372 29.5
@0-blockSets16@ 32.69 32.83
@1-blockSets16@ 32.83 32.987
@2-blockSets16@ 32.987 33.339
@3-blockSets16@ 33.339 33.62
@4-blockSets16@ 33.62 34.218
@5-blockSets16@ 34.218 35.618
@6-blockSets16@ 35.618 35.941
@7-blockSets16@ 35.941 37.141
@8-blockSets16@ 37.141 37.727
@9-blockSets16@ 37.727 38.199
@0-blockSets17@ 32.72 32.837
@1-blockSets17@ 32.837 32.987
@2-blockSets17@ 32.987 33.376
@3-blockSets17@ 33.376 33.62
@4-blockSets17@ 33.62 33.65
@0-blockSets18@ 33.034 33.253
@1-blockSets18@ 33.253 33.339
@2-blockSets18@ 33.339 33.5
@0-blockSets19@ 45.27 45.351
@1-blockSets19@ 45.351 46.097
